route,from,to,yen,km
korea,Tokyo,Osaka,30,425
korea,Osaka,Fukuoka,35,509
korea,Fukuoka,Urusan,18,240
korea,Urusan,Seoul,22,330
korea,Seoul,P’yŏngyang,13,200
korea,P’yŏngyang,Dalian,27,414
korea,Tokyo,Fukuoka,65,934
korea,Tokyo,Urusan,83,1174
korea,Tokyo,Seoul,105,1504
korea,Tokyo,P’yŏngyang,118,1704
korea,Tokyo,Dalian,145,2118
korea,Osaka,Urusan,53,749
korea,Osaka,Seoul,75,1079
korea,Osaka,P’yŏngyang,88,1279
korea,Osaka,Dalian,115,1693
korea,Fukuoka,Seoul,40,570
korea,Fukuoka,P’yŏngyang,53,770
korea,Fukuoka,Dalian,80,1184
korea,Urusan,P’yŏngyang,35,530
korea,Urusan,Dalian,62,944
korea,Seoul,Dalian,40,614
mkkk42-hsinking-tokyo,Changchun,Tokyo,265,1600
mkkk42-hsinking-keijo,Changchun,Shenyang,26,270
mkkk42-hsinking-keijo,Shenyang,Seoul,64,570
mkkk42-hsinking-keijo,Changchun,Seoul,90,840
mkkk42-hsinking-dairen,Changchun,Shenyang,26,270
mkkk42-hsinking-dairen,Shenyang,Dalian,32,355
mkkk42-hsinking-dairen,Changchun,Dalian,58,625
mkkk42-mukden-antung-dairen,Shenyang,Huanren,17,175
mkkk42-mukden-antung-dairen,Huanren,Tonghua,7,60
mkkk42-mukden-antung-dairen,Tonghua,Ji'an,7,60
mkkk42-mukden-antung-dairen,Ji'an,Dandong,24,200
mkkk42-mukden-antung-dairen,Dandong,Xiuyan,10,95
mkkk42-mukden-antung-dairen,Xiuyan,Dalian,21,210
mkkk42-mukden-antung-dairen,Shenyang,Dalian,86,800
mkkk42-mukden-antung-dairen,Shenyang,Dandong,55,495
mkkk42-hsinking-kiamusze,Changchun,Harbin,22,250
mkkk42-hsinking-kiamusze,Harbin,Jiamusi,50,305
mkkk42-hsinking-kiamusze,Changchun,Jiamusi,72,555
mkkk42-mukden-peking,Shenyang,Tianjin,66,
mkkk42-mukden-peking,Tianjin,Beijing,20,
mkkk42-mukden-peking,Shenyang,Beijing,86,
mkkk42-mukden-chengteh,Shenyang,Jinzhou,20,200
mkkk42-mukden-chengteh,Jinzhou,Chengde,28,280
mkkk42-mukden-chengteh,Shenyang,Chengde,48,480
mkkk42-chengteh-paotow,Chengde,Zhangjiakou,36,255
mkkk42-chengteh-paotow,Zhangjiakou,Datong,28,150
mkkk42-chengteh-paotow,Datong,Hohhot,32,170
mkkk42-chengteh-paotow,Hohhot,Baotou,25,135
mkkk42-chengteh-paotow,Chengde,Baotou,121,710
mkkk42-hsinking-chihfeng,Changchun,Tongliao,29,240
mkkk42-hsinking-chihfeng,Tongliao,Kailu,12,85
mkkk42-hsinking-chihfeng,Kailu,Lindong,24,170
mkkk42-hsinking-chihfeng,Lindong,Linxi,15,105
mkkk42-hsinking-chihfeng,Linxi,Chifeng,22,155
mkkk42-hsinking-chihfeng,Chifeng,Chengde,22,170
mkkk42-hsinking-chihfeng,Changchun,Chifeng,102,755
mkkk42-hsinking-chihfeng,Changchun,Chengde,124,925
mkkk42-hsinking-linkiang,Changchun,Tonghua,32,265
mkkk42-hsinking-linkiang,Tonghua,Linjiang,10,85
mkkk42-hsinking-linkiang,Changchun,Linjiang,42,350
mkkk42-hsinking-hunchun,Changchun,Yanji,37,375
mkkk42-hsinking-hunchun,Yanji,Tumen,5,20
mkkk42-hsinking-hunchun,Tumen,Hunchun,7,45
mkkk42-hsinking-hunchun,Changchun,Hunchun,49,440
mkkk42-mutankiang-tungning,Mudanjiang,Suifenhe,18,125
mkkk42-mutankiang-tungning,Suifenhe,Dongning,7,50
mkkk42-mutankiang-tungning,Mudanjiang,Dongning,25,175
mkkk42-hsinking-manchouli,Changchun,Baicheng,28,270
mkkk42-hsinking-manchouli,Baicheng,Qiqihar,22,205
mkkk42-hsinking-manchouli,Qiqihar,Hailar,48,410
mkkk42-hsinking-manchouli,Hailar,Manzhouli,21,180
mkkk42-hsinking-manchouli,Changchun,Manzhouli,119,1065
mkkk42-harbin-hailar,Harbin,Qiqihar,27,275
mkkk42-harbin-hailar,Qiqihar,Hailar,48,410
mkkk42-harbin-hailar,Harbin,Hailar,75,685
mkkk42-harbin-heiho,Harbin,Bei'an,28,275
mkkk42-harbin-heiho,Bei'an,Sunwu,14,145
mkkk42-harbin-heiho,Sunwu,Heihe,15,145
mkkk42-harbin-heiho,Harbin,Heihe,57,565
mkkk42-hsinking-mutankiang-harbin,Changchun,Mudanjiang,54,380
mkkk42-hsinking-mutankiang-harbin,Mudanjiang,Harbin,30,250
mkkk42-hsinking-mutankiang-harbin,Changchun,Harbin,84,630
mkkk42-mutankiang-paoching,Mudanjiang,Jixi,21,180
mkkk42-mutankiang-paoching,Jixi,Mishan,11,50
mkkk42-mutankiang-paoching,Mishan,Baoqing,14,95
mkkk42-mutankiang-paoching,Mudanjiang,Baoqing,46,325
mkkk42-fuchin-tungan,Fujin,Raohe,34,215
