route,seq,id,name,lon,lat,han
korea,1,tokyo,Tokyo,139.76,35.68,東京
korea,2,osaka,Osaka,135.5,34.69,大阪
korea,3,fukuoka,Fukuoka,130.4,33.59,福岡
korea,4,,Urusan (Ulsan),129.31,35.54,蔚山
korea,5,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
korea,6,pyongyang,P’yŏngyang (Heijō),125.75,39.02,平壤
korea,7,dairen,Dalian (Dairen),121.61,38.91,大連
manchuria,1,sinuiju,Shingishū (Sinŭiju),124.39,40.1,新義州
manchuria,2,mukden,Shenyang (Mukden),123.43,41.8,瀋陽（奉天）
manchuria,3,changchun,Changchun (Xinjing),125.32,43.88,長春（新京）
taiwan,1,fukuoka,Fukuoka,130.4,33.59,福岡
taiwan,2,naha,Naha,127.68,26.21,那霸
taiwan,3,taipei,Taihoku (Taipei),121.57,25.03,臺北
nanyo,1,yokohama,Yokohama,139.64,35.44,橫濱
nanyo,2,saipan,Saipan,145.75,15.19,塞班島
nanyo,3,koror,Koror (Palau),134.48,7.34,
shanghai,1,fukuoka,Fukuoka,130.4,33.59,福岡
shanghai,2,shanghai,Shanghai,121.47,31.23,上海
shanghai,3,nanjing,Nanjing (Nanking),118.8,32.06,南京
nagoya-tokyo,1,tokyo,Tokyo,139.76,35.68,東京
nagoya-tokyo,2,nagoya,Nagoya,136.91,35.18,名古屋
nagoya-osaka,1,osaka,Osaka,135.5,34.69,大阪
nagoya-osaka,2,nagoya,Nagoya,136.91,35.18,名古屋
shikoku,1,osaka,Osaka,135.5,34.69,大阪
shikoku,2,tokushima,Tokushima,134.55,34.07,德島
shikoku,3,kochi,Kōchi,133.53,33.56,高知
taiwan-west,1,taipei,Taihoku (Taipei),121.57,25.03,臺北
taiwan-west,2,taichung,Taichū (Taichung),120.67,24.15,臺中
taiwan-west,3,tainan,Tainan,120.2,22.99,臺南
taiwan-west,4,makung,Makō (Magong),119.57,23.57,馬公（澎湖）
taiwan-east,1,taipei,Taihoku (Taipei),121.57,25.03,臺北
taiwan-east,2,yilan,Giran (Yilan),121.75,24.76,甲子蘭酒文物館
taiwan-east,3,hualien,Karenkō (Hualien),121.6,23.98,花蓮港
taiwan-east,4,taitung,Taitō (Taitung),121.14,22.76,臺東
taiwan-east,5,pingtung,Heitō (Pingtung),120.49,22.68,屏東
taiwan-east,6,tainan,Tainan,120.2,22.99,臺南
northchina,1,fukuoka,Fukuoka,130.4,33.59,福岡
northchina,2,qingdao,Qingdao (Tsingtao),120.38,36.07,青島
northchina,3,tianjin,Tianjin (Tientsin),117.2,39.13,天津
northchina,4,beijing,Beijing (Peking),116.4,39.9,北京
keijo-dairen,1,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
