route,service,seq,station,down_arrive,down_arrive_day,down_depart,down_depart_day,up_arrive,up_arrive_day,up_depart,up_depart_day,frequency,down_days,up_days
fukuoka-keijo,,1,福岡 Fukuoka,,,10:40,,12:50,,,,daily,,
fukuoka-keijo,,2,大邱 Taikyū,11:50,,12:00,,11:35,,11:45,,daily,,
fukuoka-keijo,,3,京城 Keijō,12:50,,,,,,10:40,,daily,,
hokuriku,Osaka – Toyama,1,大阪 Osaka,,,8:00,,15:55,,,,daily,,
hokuriku,Osaka – Toyama,2,金澤 Kanazawa,9:35,,9:45,,14:10,,14:20,,daily,,
hokuriku,Osaka – Toyama,3,富山 Toyama,10:05,,,,,,13:55,,daily,,
hokuriku,Tokyo – Nagano,4,長野 Nagano,,,14:40,,11:20,,,,daily,,
hokuriku,Tokyo – Nagano,5,東京 Tokyo,16:00,,,,,,10:00,,daily,,
keijo-seishin,,1,京城 Keijō,,,9:00,,15:20,,,,daily,,
keijo-seishin,,2,咸興 Kankō,10:15,,10:25,,13:55,,14:05,,daily,,
keijo-seishin,,3,清津 Seishin,11:50,,,,,,12:30,,daily,,
keijo-shinkyo,,1,京城 Keijō,,,13:10,,10:30,,,,daily,,
keijo-shinkyo,,2,奉天 Hōten,15:10,,15:20,,8:35,,8:50,,daily,,
keijo-shinkyo,,3,新京 Shinkyō,16:20,,,,,,7:45,,daily,,
klm-batavia,,2,Karachi,16:15,1,17:15,1,9:30,4,10:15,4,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,3,Jodhpur,19:15,1,5:00,2,17:00,3,7:00,4,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,4,Allahabad,8:15,2,8:45,2,12:45,3,13:30,3,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,5,Calcutta,12:00,2,12:45,2,9:30,3,10:15,3,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,6,Rangoon,17:30,2,5:30,3,14:45,2,6:00,3,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,7,Bangkok,8:15,3,8:45,3,12:00,2,12:45,2,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,8,Penang,12:45,3,13:15,3,8:00,2,8:30,2,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,9,Medan,13:30,3,14:30,3,16:45,1,6:00,2,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,10,Singapore,17:45,3,6:00,4,14:30,1,15:00,1,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,11,Palembang,7:45,4,8:15,4,11:45,1,12:15,1,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,12,Batavia,10:30,4,11:15,4,9:30,1,10:30,1,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
klm-batavia,,13,Bandoeng,11:45,4,,,,,9:00,1,"Mondays, Thursdays and Saturdays",1 4 6,2 4 6
knilm30-bandoeng,afternoon,1,Batavia,,,16:15,,15:45,,,,Mondays to Saturdays,1 2 3 4 5 6,1 2 3 4 5 6
knilm30-bandoeng,afternoon,2,Bandoeng,17:00,,,,,,15:00,,,,
knilm30-bandoeng,morning,1,Batavia,,,7:45,,7:15,,,,Mondays to Saturdays,1 2 3 4 5 6,1 2 3 4 5 6
knilm30-bandoeng,morning,2,Bandoeng,8:30,,,,,,6:30,,,,
knilm30-java,Wednesday return,1,Batavia,,,7:30,,10:10,,,,Mondays to Saturdays out; Wednesdays home,1 2 3 4 5 6,3
knilm30-java,Wednesday return,2,Semarang,10:20,,10:40,,7:25,,7:40,,,,
knilm30-java,Wednesday return,3,Soerabaia,12:30,,,,,,5:40,,,,
knilm30-java,other days,1,Batavia,,,,,11:35,,,,home on the other five days,,1 2 4 5 6
knilm30-java,other days,2,Semarang,,,,,8:45,,9:05,,,,
knilm30-java,other days,3,Soerabaia,,,,,,,7:00,,,,
knilm30-medan,,1,Batavia,,,6:00,,17:15,,,,once a week; the return waited on the mail boat at Belawan,6,7
knilm30-medan,,2,Palembang,9:00,,9:30,,13:30,,14:00,,,,
knilm30-medan,,3,Pakan Baroe,13:00,,13:30,,9:35,,10:05,,,,
knilm30-medan,,4,Medan,16:00,,,,,,5:45,,,,
knilm30-singapore,,1,Batavia,,,7:30,,14:30,,,,"out on Mondays, home on Thursdays",1,4
knilm30-singapore,,2,Palembang,10:20,,10:50,,10:45,,11:15,,,,
knilm30-singapore,,3,Singapore,13:30,,,,,,7:00,,,,
korea,,1,東京 Tokyo,,,7:30,1,17:00,2,,,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,2,大阪 Osaka,10:00,1,10:20,1,14:10,2,14:30,2,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,3,福岡 Fukuoka,13:20,1,13:30,1,11:00,2,11:10,2,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,4,蔚山 Ulsan,15:20,1,15:40,1,8:50,2,9:10,2,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,5,京城 Keijō,17:30,1,7:30,2,17:00,1,7:00,2,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,6,平壌 Heijō,8:40,2,9:10,2,15:20,1,15:50,1,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea,,7,大連 Dairen,10:40,2,,,,,11:50,1,daily except Sundays,1 2 3 4 5 6,1 2 3 4 5 6
korea-1938,,1,東京 Tokyo,,,7:00,,16:30,2,,,daily,,
korea-1938,,2,大阪 Osaka,8:30,,8:50,,14:50,2,15:10,2,daily,,
korea-1938,,3,福岡 Fukuoka,10:30,,10:50,,13:00,2,13:20,2,daily,,
korea-1938,,4,京城 Keijō,12:50,,13:10,,11:05,2,11:25,2,daily,,
korea-1938,,5,大連 Dairen,15:10,,,,,,9:30,2,daily,,
nagoya-osaka,afternoon,1,大阪 Osaka,,,13:00,,15:50,,,,daily,,
nagoya-osaka,afternoon,2,名古屋 Nagoya,13:50,,,,,,15:00,,daily,,
nagoya-osaka,morning,1,大阪 Osaka,,,11:00,,12:50,,,,daily,,
nagoya-osaka,morning,2,名古屋 Nagoya,11:50,,,,,,12:00,,daily,,
nagoya-tokyo,afternoon,1,東京 Tokyo,,,13:00,,15:50,,,,daily,,
nagoya-tokyo,afternoon,2,名古屋 Nagoya,14:50,,,,,,14:00,,daily,,
nagoya-tokyo,morning,1,東京 Tokyo,,,10:00,,13:50,,,,daily,,
nagoya-tokyo,morning,2,名古屋 Nagoya,11:50,,,,,,12:00,,daily,,
nanyo,,1,横濱 Yokohama,,,6:00,1,16:00,7,,,twice a month (1st and 3rd Tuesday),,
nanyo,,2,サイパン Saipan,16:00,1,7:00,3,14:30,5,6:00,7,twice a month (1st and 3rd Tuesday),,
nanyo,,3,パラオ Palau,14:00,3,,,,,7:00,5,twice a month (1st and 3rd Tuesday),,
niigata,,1,長野 Nagano,,,11:30,,14:40,,,,daily,,
niigata,,2,新潟 Niigata,12:40,,,,,,13:30,,daily,,
sanin,,1,大阪 Osaka,,,9:40,,15:35,,,,daily,,
sanin,,2,鳥取 Tottori,11:20,,11:30,,13:45,,13:55,,daily,,
