id,name_en,name_local,lat,lon,polity,on_map,size_tier,always,capital_variant,capital_of,pop_c1920,pop_c1930,pop_c1940,pop_c1950,pop_ref,pop_ref_year,pop_basis,pop_quality,pop_sources,rationale
shanghai,Shànghǎi (Shanghai),,31.23,121.47,Republic of China,on map (quiz site),largest,,,,,3145000,3814000,6204000,3145000,1930,contemporary (1930),census (rounded),cn_yearbook;cn_census1953,
osaka,Osaka,,34.69,135.5,Japan,on map (quiz site),largest,,capital-province,Ōsaka Prefecture,1253000,2453573,3252000,1956000,2453573,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
tokyo,Tokyo,,35.68,139.76,Japan,on map (quiz site),largest,,capital-territory,Japan,2173000,2070913,6779000,5385000,2070913,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
beijing,Běijīng (Peking / Peiping),,39.9,116.4,Republic of China,on map (quiz site),largest,,,,,1360000,1550000,2768000,1360000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
sydney,Sydney,Sydney,-33.87,151.21,Australia,proposed,largest,,capital-province,New South Wales,,1235000,1330000,1863000,1235000,1933,contemporary (1933),estimate,statesmans,The midget submarine attack of 31 May 1942.
calcutta,Calcutta,,22.57,88.36,British India,on map (browse layer),largest,,capital-province,Bengal,,1197000,2109000,2549000,1197000,1931,contemporary (1931),census (rounded),in_census,
bombay,Bombay (Mumbai),,18.94,72.83,British India,on map (browse layer),largest,,capital-province,Bombay,,1161000,1489000,2839000,1161000,1931,contemporary (1931),census (rounded),in_census,
guangzhou,Guǎngzhōu (Canton),,23.13,113.26,Republic of China,on map (quiz site),largest,,capital-province,Kwangtung,,1122000,1200000,1599000,1122000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
tianjin,Tiānjīn (Tientsin),,39.13,117.2,Republic of China,on map (quiz site),largest,,capital-province,Hopei,,1100000,1700000,2694000,1100000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
nagoya,Nagoya,,35.18,136.91,Japan,on map (quiz site),large,,capital-province,Aichi Prefecture,430000,907404,1328000,1031000,907404,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
bangkok,Bangkok,,13.75,100.5,Siam,on map (quiz site),large,,capital-territory,Siam,,,890000,782000,890000,1937,inferred from 1937,estimate,th_census,
hongkong,"Victoria, Hong Kong",香港 (Honkon),22.28,114.16,Hong Kong,proposed,large,,capital-territory,Hong Kong,,841000,1639000,1974000,841000,1931,contemporary (1931),census (rounded),hk_census;uk_colonial,"The largest British city in East Asia and the busiest port on the China coast, attacked on 8 December 1941 and surrendered on Christmas Day. The territory is already drawn; the city is not on the layer at all."
kobe,Kobe,,34.69,135.2,Japan,on map (quiz site),large,,capital-province,Hyōgo Prefecture,609000,787616,967000,765000,787616,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
wuhan,Wǔhàn (Hankow),,30.58,114.28,Republic of China,on map (quiz site),large,,capital-province,Hupeh,,778000,1200000,1427000,778000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
kyoto,Kyoto,,35.01,135.77,Japan,on map (quiz site),large,,capital-province,Kyōto Prefecture,591000,765142,1090000,1102000,765142,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
madras,Madras,,13.08,80.27,British India,on map (browse layer),large,,capital-province,Madras,,647000,777000,1416000,647000,1931,contemporary (1931),census (rounded),in_census,
manila,Manila,,14.6,120.98,Philippine Islands (US),on map (quiz site),large,,capital-territory,Philippine Islands,,,623000,984000,623000,1939,inferred from 1939,census (rounded),ph_census,
yokohama,Yokohama,,35.44,139.64,Japan,on map (quiz site),large,,capital-province,Kanagawa Prefecture,423000,620306,968000,951000,620306,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
nanjing,Nánjīng (Nanking),,32.06,118.8,Republic of China,on map (quiz site),large,,capital-territory,Republic of China,,566000,1019000,1092000,566000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
singapore,Singapore (Shōnantō),,1.29,103.85,Straits Settlements,on map (quiz site),large,,capital-territory,Straits Settlements,,558000,,938000,558000,1931,contemporary (1931),census (rounded),my_census1931;my_census1947,
