id,hangul,hanja,mr,romaji,line,lon,lat,e1930,e1942,prov,note
bc_001,신북청,新北青,Sinbukch'ŏng,Shinhokushō,북청선 / 함경선,128.37310,40.17730,1,1,Kankyōnan-dō,
bc_002,양가,楊家,Yangga,Yōka,북청선,128.35350,40.19390,1,1,Kankyōnan-dō,
bc_003,북청,北青,Pukch'ŏng,Hokusei,북청선,128.32110,40.22530,1,1,Kankyōnan-dō,
bm_001,백암,白岩,Paegam,Hakugan,백무선 / 혜산선,128.80410,41.23930,,1,Kankyōhoku-dō,
bm_002,대택,大澤,Taet'aek,Daitaku,백무선,128.84710,41.26090,,1,Kankyōhoku-dō,
bm_003,북계수,北溪水,Pukkyesu,Hokukeisui,백무선,128.89040,41.26530,,1,Kankyōhoku-dō,
bm_004,도내,島內,Tonae,Tōnai,백무선,128.89530,41.32940,,1,Kankyōhoku-dō,
bm_005,산양대,山羊台,Sanyangdae,San'yōdai,백무선,128.86680,41.39400,,1,Kankyōhoku-dō,
bm_006,서두,西頭,Sŏdu,Seitō,백무선,128.84210,41.44130,,1,Kankyōhoku-dō,
bm_007,연암,延岩,Yŏnam,Engan,백무선,128.81200,41.60410,,1,Kankyōhoku-dō,
bm_008,삼사,三社,Samsa,Sansha,백무선,128.78070,41.65930,,1,Kankyōhoku-dō,
bm_009,하황토,下黃土,Hahwangt'o,Shimokōdo,백무선,128.81270,41.74810,,1,Kankyōhoku-dō,
bm_010,유평동,楡坪洞,Yup'yŏngdong,Yuhyōgō,백무선,128.88860,41.80310,,1,Kankyōhoku-dō,
bm_011,신양,新陽,Sinyang,Shinyō,백무선,129.04900,41.95310,,1,Kankyōhoku-dō,
bm_012,연사,延社,Yŏnsa,Ensha,백무선,129.09360,42.00560,,1,Kankyōhoku-dō,
bs_001,청진,淸津,Ch'ŏngjin,Seishin,북선,129.74400,41.76690,1,1,Kankyōhoku-dō,
bs_002,수성,輸城,Susŏng,Sujō,북선 / 함경선,129.73730,41.82370,1,1,Kankyōhoku-dō,
bs_003,석막,石幕,Sŏngmak,Sekimaku,북선,129.73050,41.87440,1,1,Kankyōhoku-dō,
bs_004,장흥,章興,Changhŭng,Shōkō,북선,129.71200,41.93810,1,1,Kankyōhoku-dō,
bs_005,부령,富寧,Puryŏng,Funei,북선,129.71560,42.05280,1,1,Kankyōhoku-dō,
bs_006,고무산,古茂山,Komusan,Komosan,북선 / 북선철식철도 / 함북선,129.69470,42.11730,1,1,Kankyōhoku-dō,
bs_007,창평,蒼坪,Ch'angp'yŏng,Sōhei,북선,129.66660,42.20200,1,1,Kankyōhoku-dō,
bs_008,전거리,全巨里,Chŏn'gŏri,Zengori,북선,129.72020,42.19920,1,1,Kankyōhoku-dō,
bs_009,풍산,豊山,P'ungsan,Hōzan,북선,129.76230,42.25330,1,1,Kankyōhoku-dō,
bs_010,중도,中島,Chungdo,Chūdō,북선,129.80240,42.34250,1,1,Kankyōhoku-dō,
bs_011,회령,會寧,Hoeryŏng,Kainei,북선 / 회령탄광선,129.74110,42.45130,1,1,,
bs_012,금생,金生,Kŭmsaeng,Kinsei,북선,129.74400,42.47580,1,1,Kankyōhoku-dō,
bs_013,고령진,高嶺鎮,Koryŏngjin,Kōreichin,북선,129.74820,42.52750,1,1,Kankyōhoku-dō,
bs_014,학포,鶴浦,Hakp'o,Kakuho,북선,129.75760,42.59550,1,1,,
bs_015,신전,新田,Sinjŏn,Shinden,북선,129.75600,42.64090,1,1,,
bs_016,간평,間坪,Kanp'yŏng,Kanpei,북선,129.78670,42.64830,1,1,,
bs_017,상삼봉,上三峰,Sangsambong,Jōsanpō,북선,129.79870,42.68260,1,1,Kankyōhoku-dō,
bs_018,종성,鍾城,Chongsŏng,Shōjō,북선,129.78650,42.75730,1,1,,
bs_019,○암,小岩,Soam,Shōgan,북선,129.80930,42.79570,1,1,,
bs_020,동관,東關,Tonggwan,Tōken,북선,129.82450,42.82150,1,1,,
bs_021,수구포,水口浦,Sugup'o,Suigōho,북선,129.84420,42.87790,,1,,
bs_022,강양,江陽,Kangyang,Kōyō,북선,129.85460,42.91630,,1,,
bs_023,남양,南陽,Namyang,Nan'yō,북선,129.85650,42.94370,,1,,
bs_024,풍이,豊利,P'ungi,Hōri,북선,129.89170,42.96160,,1,,
bs_025,세선,世仙,Sesŏn,Seizen,북선,129.93920,42.97430,,1,,
bs_026,온성,穏城,Onsŏng,Onjō,북선,129.98870,42.95230,,1,,
bs_027,풍인,豊仁,P'ungin,Hōjin,북선,130.03820,42.93350,,1,,
bs_028,황파,黄坡,Hwangp'a,Kōha,북선,130.11350,42.90820,,1,Kankyōhoku-dō,
bs_029,훈융,訓戎,Hunyung,Kunjū,북선,130.22290,42.89470,1,1,,
bs_030,경원,慶源,Kyŏngwŏn,Keigen,북선,130.19420,42.85060,1,1,Kankyōhoku-dō,
bs_031,농포,農圃,Nongp'o,Nōho,북선,130.20910,42.75440,1,1,Kankyōhoku-dō,
bs_032,승량,承良,Sŭngnyang,Shōryō,북선,130.22960,42.71790,1,1,Kankyōhoku-dō,
bs_033,신건,新乾,Sin'gŏn,Shinkan,북선,130.28940,42.67250,1,1,,
bs_034,신아산,新阿山,Sinasan,Shin'azan,북선,130.35970,42.61800,1,1,,
bs_035,아오지,阿吾地,Aoji,Aguji,북선,130.39520,42.52710,1,1,Kankyōhoku-dō,
bs_036,청학,青鶴,Ch'ŏnghak,Seikaku,북선,130.45020,42.46990,1,1,Kankyōhoku-dō,
bs_037,사회,四会,Sahoe,Seikai,북선,130.50920,42.45790,1,1,Kankyōhoku-dō,
bs_038,홍의,洪儀,Hongŭi,Kōgi,북선,130.53420,42.42670,1,1,Kankyōhoku-dō,
bs_039,구룡평,九龍坪,Kuryongp'yŏng,Kyūryōhei,북선,130.52890,42.36690,1,1,Kankyōhoku-dō,
bs_040,웅상,雄尚,Ungsang,Yūshō,북선,130.45970,42.35210,1,1,Kankyōhoku-dō,
bs_041,웅기,雄基,Unggi,Yūki,북선,130.37780,42.35740,1,1,Kankyōhoku-dō,
bs_042,관곡,寛谷,Kwan'gok,Kankoku,북선,130.34020,42.32160,,1,Kankyōhoku-dō,
bs_043,나진,羅津,Najin,Rashin,북선,130.28980,42.24690,,1,Kankyōhoku-dō,
bsc_002,서상,西上,Sŏsang,Seijō,북선철식철도,129.69890,42.15270,1,1,Kankyōhoku-dō,
bsc_003,무수,舞袖,Musu,Bushū,북선철식철도,129.65450,42.15110,1,1,Kankyōhoku-dō,
bsc_004,폐무산,廃茂山,P'yemusan,Haimozan,북선철식철도 / 함북선,129.61270,42.17730,1,1,Kankyōhoku-dō,
bsc_005,금패,金佩,Kŭmp'ae,Kinpai,북선철식철도 / 함북선,129.47580,42.13610,1,1,Kankyōhoku-dō,
bsc_006,주초,朱草,Chuch'o,Shusō,북선철식철도,129.32450,42.19150,1,1,Kankyōhoku-dō,
bsc_007,진화,珍貨,Chinhwa,Chinka,북선철식철도 / 함북선,129.32080,42.20800,1,1,Kankyōhoku-dō,
bsc_008,무산철산,茂山鉄山,Musanch'ŏlsan,Mōzan-Tetsuzan,북선철식철도,129.26100,42.22290,1,1,Kankyōhoku-dō,
bsc_009,무산,茂山,Musan,Mōzan,북선철식철도 / 함북선,129.23210,42.22410,1,1,Kankyōhoku-dō,
cc_001,이원철산,利原鐵山,Iwŏnch'ŏlsan,Rigentetsuzan,철산차호선,128.58130,40.21450,1,1,Kankyōnan-dō,
cc_002,나흥,羅興,Nahŭng,Nakō,철산차호선 / 함경선,128.59040,40.19230,1,1,Kankyōnan-dō,
cc_003,증산,曾山,Chŭngsan,Sōzan,철산차호선 / 함경선,128.60280,40.21520,1,1,Kankyōnan-dō,
cc_004,차호,遮湖,Ch'aho,Shako,철산차호선,128.64830,40.20090,1,1,Kankyōnan-dō,
db_001,원산,元山,Wŏnsan,Genzan,동해북부선 / 경원선,127.44270,39.14630,1,1,,
db_002,갈마,葛麻,Kalma,Katsuba,동해북부선 / 경원선,127.47670,39.13550,1,1,Kankyōnan-dō,
db_003,배화,培花,Paehwa,Haika,동해북부선 / 경원선,127.49000,39.07900,1,1,Kankyōnan-dō,
db_004,안변,安辺,Anbyŏn,Anpen,동해북부선 / 경원선,127.49870,39.04730,1,1,Kankyōnan-dō,
db_005,상음,桑陰,Sangŭm,Sōin,동해북부선,127.60920,39.13400,1,1,,
db_006,흡곡,歙谷,Hŭpkok,Kyūkoku,동해북부선,127.73830,39.06770,1,1,,
db_007,패천,沛川,P'aech'ŏn,Haisen,동해북부선,127.78900,39.02580,,1,,
db_008,고저,庫底,Kojŏ,Kotei,동해북부선,127.89260,38.93870,,1,,
db_009,통천,通川,T'ongch'ŏn,Tsūsen,동해북부선,127.90870,38.89680,,1,Kōgen-dō,
db_010,두백,荳白,Tubaek,Tōhaku,동해북부선,128.06130,38.84600,,1,,
db_011,장전,長箭,Changjŏn,Chōsen,동해북부선,128.18110,38.73540,,1,,
db_012,외금강,外金剛,Oegŭmgang,Gaikongō,동해북부선,128.22110,38.69010,,1,,
db_013,고성,高城,Kosŏng,Kōjō,동해북부선,128.32490,38.67110,,1,,
db_014,저진,猪津,Chŏjin,Choshin,동해북부선,128.39490,38.56470,,1,,
