line,station,table,n_trains,method,spread_m,exp_km,exp_lon,exp_lat,n_cands_3km,candidate,cand_osm_id,cand_dist_to_exp_m,cand_dist_to_line_m,cand_already_placed
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,后盐,10751695364,1109,352,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,龙华路,12076284843,1175,1237,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,后盐,10740321255,1205,384,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,后关,12076289280,1209,3021,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,中华东路,7319886740,1212,3151,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,泉水东,12076284836,2120,2043,
滿鐵社線 連京線,鹽島,p12a_manshu_renkeisen_dairen_hoten.tt,1,南關嶺~金州,0,21.9,121.64536,39.02622,7,姚家,10755244158,2694,288,
滿鐵社線 連京線,大房身,p12a_manshu_renkeisen_dairen_hoten.tt,4,南關嶺~金州,4923,26.8,121.68336,39.05017,4,大连湾,10757807714,1104,2443,
滿鐵社線 連京線,大房身,p12a_manshu_renkeisen_dairen_hoten.tt,4,南關嶺~金州,4923,26.8,121.68336,39.05017,4,地铁海湾基地,1658989803,1149,3444,
滿鐵社線 連京線,大房身,p12a_manshu_renkeisen_dairen_hoten.tt,4,南關嶺~金州,4923,26.8,121.68336,39.05017,4,金马,8756066325,2547,3597,
滿鐵社線 連京線,大房身,p12a_manshu_renkeisen_dairen_hoten.tt,4,南關嶺~金州,4923,26.8,121.68336,39.05017,4,金马路,10757807710,2986,3728,
滿鐵社線 連京線,梨山,p12a_manshu_renkeisen_dairen_hoten.tt,2,九寨~熊岳城,0,170.7,122.11947,40.12764,0,,,,,
滿鐵社線 連京線,白旗,p12a_manshu_renkeisen_dairen_hoten.tt,3,蓋平~大石橋,754,216.7,122.35657,40.48042,0,,,,,
滿鐵社線 連京線,太平山,p12a_manshu_renkeisen_dairen_hoten.tt,4,蓋平~大石橋,3886,225.4,122.41071,40.5459,0,,,,,
滿鐵社線 連京線,甘泉舖,p12a_manshu_renkeisen_dairen_hoten.tt,4,南臺~湯崗子,381,283.5,122.82988,40.94072,0,,,,,
滿鐵社線 連京線,立山,p12a_manshu_renkeisen_dairen_hoten.tt,8,鞍山~首山,1113,310.8,122.99875,41.13438,1,羊草庄,7679262811,2447,2727,
滿鐵社線 連京線,太子河,p12a_manshu_renkeisen_dairen_hoten.tt,6,遼陽~張臺子,2209,335.3,123.18447,41.29364,0,,,,,
滿鐵社線 連京線,十里河,p12a_manshu_renkeisen_dairen_hoten.tt,8,煙臺~沙河,2238,358.7,123.32651,41.45886,0,,,,,
