scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,res_naichi,res_gaichi,res_foreign,mil_total,n40_korea,n40_taiwan,n40_karafuto,n40_nanyo,n40_cn,n40_us,n40_mk,n40_de,n40_gb,n40_su,n40_in,n40_whiterus,n40_fr,n40_gr,n40_ca,n40_it,n40_nl,n40_ch,n40_tr,n40_no,n40_pt,n40_th,n40_pl,n40_yu,n40_se,n40_es,n40_dk,n40_jewish,n40_etc,n40_small
territory,japan,Japan proper (内地),73114308,100.05,,372593,,"The census of 1 October 1940, Okinawa included — the report prints the country both ways and the map draws Okinawa, so this is its 73,114,308 rather than the 72,539,729 without it. 1,265,049 of these people were registered in the 外地, chiefly Koreans, and 1,694,428 were service personnel, who are inside the total rather than beside it.",71810022,1265049,39237,1694428,1241315,22499,986,249,19453,4755,3787,2713,1693,731,596,537,515,376,362,333,295,258,239,239,222,169,149,138,128,120,103,9,311,1006
sub-unit,Hokkaido,Hokkaidō-chō,3272718,107.51,,78290,,,3228652,43360,706,62544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Aomori,Aomori-ken,1000509,98.56,,9631,,,998133,2239,137,22143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Iwate,Iwate-ken,1095793,98.69,,15263,,,1092036,3635,122,25074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Miyagi,Miyagi-ken,1271238,100.72,,7275,,,1268714,2274,250,35482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Akita,Akita-ken,1052275,99.20,,11629,,,1049745,2402,128,24807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Yamagata,Yamagata-ken,1119338,96.05,,9321,,,1118153,1114,71,28092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Fukushima,Fukushima-ken,1625521,96.86,,13771,,,1619549,5869,103,43048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Ibaraki,Ibaraki-ken,1620000,98.02,,6097,,,1615938,3988,74,35863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Tochigi,Tochigi-ken,1206657,96.19,,6406,,,1204086,2511,60,28428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Gunma,Gunma-ken,1299027,96.43,,6361,,,1294334,4519,174,27682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Saitama,Saitama-ken,1608039,98.59,,3797,,,1602492,5435,112,35754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Chiba,Chiba-ken,1588425,95.65,,5162,,,1582013,6205,207,38785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Tokyo,Tōkyō-fu,7354971,106.65,,2189,,,7230082,116901,7988,102202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Kanagawa,Kanagawa-ken,2188974,108.27,,2420,,,2151757,31262,5955,44158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Niigata,Niigata-ken,2064402,97.11,,12575,,,2059041,5186,175,60287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Toyama,Toyama-ken,822569,95.24,,4252,,,816995,5535,39,17747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Ishikawa,Ishikawa-ken,757676,92.42,,4186,,,751992,5606,78,17347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Fukui,Fukui-ken,643904,94.05,,4190,,,631834,11981,89,12387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Yamanashi,Yamanashi-ken,663026,97.94,,4470,,,654740,8175,111,17246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Nagano,Nagano-ken,1710729,95.12,,13552,,,1700765,9754,210,39512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Gifu,Gifu-ken,1265024,100.10,,10621,,,1244555,20390,79,31633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Shizuoka,Shizuoka-ken,2017860,97.63,,7776,,,2002631,14811,418,50233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Aichi,Aichi-ken,3166592,99.91,,5171,,,3081381,84510,701,67400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Mie,Mie-ken,1198783,95.45,,5772,,,1186209,12405,169,30074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Shiga,Shiga-ken,703679,94.36,,4017,,,695032,8498,149,16110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Kyoto,Kyōto-fu,1729993,99.65,,4599,,,1655407,73949,637,35333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Osaka,Ōsaka-fu,4792966,105.50,,1912,,,4487847,302177,2942,80405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Hyogo,Hyōgo-ken,3221232,101.52,,8394,,,3100748,111297,9187,68112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Nara,Nara-ken,620509,97.09,,3693,,,610489,9708,312,15687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Wakayama,Wakayama-ken,865074,97.57,,4723,,,851486,12965,623,25999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Tottori,Tottori-ken,484390,93.43,,3507,,,481286,3020,84,13366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-unit,Shimane,Shimane-ken,740940,98.60,,6704,,,732713,8104,123,22803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
