scope,key,en,population,pct_of_total,note
summary,allcities,All twenty-eight together,11030724,17.12,"The 市 the report lists down to Kawasaki at 104,351. There were more 市 than these; the page stops where it stops."
city,osaka,Osaka,2453573,3.81,
city,tokyo,Tokyo,2070913,3.21,"東京市 is the fifteen wards, not 東京府 — the amalgamation that took in the surrounding twenty came in 1932, which is why Ōsaka is the larger city here."
city,nagoya,Nagoya,907404,1.41,
city,kobe,Kobe,787616,1.22,
city,kyoto,Kyoto,765142,1.19,
city,yokohama,Yokohama,620306,0.96,
city,hiroshima,Hiroshima,270417,0.42,
city,fukuoka,Fukuoka,228289,0.35,
city,nagasaki,Nagasaki,204626,0.32,
city,hakodate,Hakodate,197252,0.31,
city,kure,Kure,190282,0.30,
city,sendai,Sendai,190180,0.30,
city,sapporo,Sapporo,168576,0.26,
city,yawata,Yahata,168217,0.26,
city,kumamoto,Kumamoto,164460,0.26,
city,kanazawa,Kanazawa,157311,0.24,
city,otaru,Otaru,144887,0.22,
city,okayama,Okayama,139222,0.22,
city,kagoshima,Kagoshima,137236,0.21,
city,shizuoka,Shizuoka,136481,0.21,
city,sasebo,Sasebo,133174,0.21,
city,niigata,Niigata,125108,0.19,
city,sakai,Sakai,120348,0.19,
city,wakayama,Wakayama,117444,0.18,
city,yokosuka,Yokosuka,110301,0.17,
city,takamatsu,Takamatsu,109478,0.17,
city,moji,Moji,108130,0.17,
city,kawasaki,Kawasaki,104351,0.16,
