scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,age_0_14,age_15_59,age_60p,reg_jp,reg_ko,reg_tw,reg_karafuto,for_total,for_cn,for_other,for_gb,for_us,for_su,for_fr,for_de,for_at,for_cz,for_se,for_ch,for_no,for_be,for_tr,for_ir,for_ca,for_au,for_etc,occ_total,occ_agri,occ_fish,occ_mine,occ_ind,occ_comm,occ_trans,occ_public,occ_domestic,occ_other,occ_none
territory,chosen,Chōsen (Korea),21058305,104.56,100.0,,,,8345582,11426473,1286250,527016,20438108,19,15,93147,91783,1364,216,738,214,62,55,1,2,10,3,7,1,29,2,17,2,5,9765514,7664564,121730,34185,585765,562099,107541,182684,120877,386069,11292791
sub-unit,Keishohoku,Keishōhoku-dō (Kyŏngsangbuk-to),2416762,102.15,11.5,18986,,,985995,1277755,153012,40389,2373856,,5,2512,2452,60,5,29,2,12,8,,,,,,,4,,,,,1052464,877716,6274,711,48935,55650,5163,14879,13548,29588,1364298
sub-unit,Zenranan,Zenranan-dō (Chŏllanam-do),2332256,100.96,11.1,13885,,,936160,1248301,147795,40986,2288429,1,,2840,2774,66,2,60,2,,,,,,,,,2,,,,,1265246,1059576,18756,1243,53519,46240,6000,13008,16425,50479,1067010
sub-unit,Keiki,Keiki-dō (Kyŏnggi-do),2157413,106.64,10.2,12643,,,801943,1227264,128206,135863,2004012,9,8,17521,16968,553,105,246,115,36,18,,2,3,2,1,,13,,10,,2,875870,545687,6026,2063,84334,94287,22832,39925,22201,58515,1281543
sub-unit,Keishonan,Keishōnan-dō (Kyŏngsangnam-do),2135716,101.57,10.1,12269,,,863129,1124872,147715,88560,2045113,5,1,2037,1973,64,34,4,15,3,3,,,,,1,,1,,,2,1,892367,651208,26329,525,56532,64268,11916,17082,15320,49187,1243349
sub-unit,Kankyonan,Kankyōnan-dō (Hamgyŏngnam-do),1578491,107.62,7.5,31916,,,636852,850188,91451,39247,1527975,1,,11268,11181,87,11,20,30,1,17,1,,,1,,,3,,3,,,655169,457652,16978,3619,69377,46986,10296,13043,4025,33193,923322
sub-unit,Heianhoku,Heianhoku-dō (P’yŏnganbuk-to),1562791,104.91,7.4,28298,,,618142,845911,98738,20063,1519037,,,23691,23580,111,14,82,8,1,,,,,,4,,2,,,,,840115,710649,3211,7737,24132,37426,12792,13547,4193,26428,722676
sub-unit,Kokai,Kōkai-dō (Hwanghae-do),1523523,102.11,7.2,16583,,,595627,831895,96001,17669,1499643,,,6211,6185,26,8,9,1,1,,,,7,,,,,,,,,826542,713549,8990,5152,20635,34893,5716,10137,6899,20571,696981
sub-unit,Zenrahoku,Zenrahoku-dō (Chŏllabuk-to),1503695,106.99,7.1,8463,,,600144,822411,81140,32747,1467604,1,1,3342,3297,45,,37,1,1,,,,,,,,1,2,3,,,723468,583711,2168,349,50462,34768,4979,9607,14137,23287,780227
sub-unit,Kogen,Kōgen-dō (Kangwŏn-do),1487715,109.82,7.1,26245,,,578329,820921,88465,11112,1473972,,,2631,2587,44,4,25,4,,6,,,,,1,,1,,1,,2,713082,598385,6906,2410,34385,33482,4273,9084,7094,17063,774633
sub-unit,Chuseinan,Chūseinan-dō (Ch’ungch’ŏngnam-do),1382888,105.55,6.6,8060,,,554116,758462,70310,23180,1356942,,,2766,2760,6,,,1,5,,,,,,,,,,,,,561144,425760,4504,572,56063,30781,4044,8581,8772,22067,821744
sub-unit,Heiannan,Heiannan-dō (P’yŏngannam-do),1331705,102.24,6.3,14765,,,527815,714891,88999,33891,1288804,,,9010,8775,235,16,212,6,,,,,,,,1,,,,,,698303,546354,3764,6512,44377,42759,10712,14891,3490,25444,633402
sub-unit,Chuseihoku,Chūseihoku-dō (Ch’ungch’ŏngbuk-to),900226,106.05,4.3,7413,,,352924,494100,53202,8030,890877,2,,1317,1295,22,7,13,,2,,,,,,,,,,,,,373103,320050,73,361,11935,17903,1539,5211,3982,12055,527123
sub-unit,Kankyohoku,Kankyōhoku-dō (Hamgyŏngbuk-to),745124,110.11,3.5,20321,,,294406,409502,41216,35279,701844,,,8001,7956,45,10,1,29,,3,,,,,,,2,,,,,288641,174273,17751,2931,31079,22656,7279,13689,791,18192,456483
sub-unit,Saishu,Saishū-tō (Cheju-do),,,,,Zenranan,"The 1930 census counts Cheju inside Chŏllanam-do and does not break the island out, so these are that province’s figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
