scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,age_0_14,age_15_59,age_60p,reg_jp,reg_ko,reg_tw,reg_karafuto,for_total,for_cn,for_other,for_gb,for_us,for_su,for_fr,for_de,for_at,for_cz,for_se,for_ch,for_no,for_be,for_tr,for_ir,for_ca,for_au,for_etc,occ_total,occ_agri,occ_fish,occ_mine,occ_ind,occ_comm,occ_trans,occ_public,occ_domestic,occ_other,occ_none
summary,allcities,All fourteen 府 together,1189791,111.04,,,,,408399,727131,54261,268380,889082,16,14,32299,31433,866,142,441,150,45,40,1,2,3,3,3,,18,,13,2,3,434075,19638,8796,971,99006,130083,38507,53104,24238,59732,755716
city,seoul,"Keijō (Kyŏngsŏng, Seoul)",394240,110.07,,,,,125643,249299,19298,105639,279865,1,5,8730,8275,455,98,175,113,27,9,,2,3,2,1,,13,,10,,2,136728,2492,23,435,31872,41451,8703,24916,12307,14529,257512
city,pusan,Fusan (Pusan),146098,109.27,,,,,52389,87777,5932,47761,97558,5,1,773,737,36,9,4,15,,3,,,,,1,,1,,,2,1,56037,2461,3033,52,11805,15882,5702,4241,2262,10599,90061
city,pyongyang,Heijō (P’yŏngyang),140703,111.88,,,,,50194,83835,6674,20073,116899,,,3731,3534,197,14,176,6,,,,,,,1,,,,,,,51816,3220,40,213,16067,15190,3634,5838,1044,6570,88887
city,taegu,Taikyū (Taegu),93319,100.14,,,,,35505,54033,3781,19426,73060,,5,828,792,36,5,17,1,10,,,,,,,,3,,,,,35024,3016,19,17,9519,10276,1698,4320,3307,2852,58295
city,incheon,Jinsen (Inch’ŏn),68137,115.93,,,,,22891,41890,3356,11758,52971,8,3,3397,3372,25,1,7,2,6,9,,,,,,,,,,,,25031,878,417,36,4701,7569,3593,1634,840,5363,43106
city,kaesong,Kaijō (Kaesŏng),49520,86.81,,,,,17834,27933,3753,1531,47722,,,267,242,25,,25,,,,,,,,,,,,,,,14321,1563,3,40,3180,4269,305,972,841,3148,35199
city,sinuiju,Shingishū (Sinŭiju),48047,137.61,,,,,15670,30825,1552,7526,31445,,,9076,9071,5,,5,,,,,,,,,,,,,,,19856,1078,39,32,4905,5103,3062,1869,600,3168,28191
city,hamhung,Kankō (Hamhŭng),43851,109.02,,,,,16008,26166,1677,8984,34191,,,676,667,9,7,,,,1,,,,,,,1,,,,,15908,1066,9,43,3929,4537,841,3246,331,1906,27943
city,wonsan,Genzan (Wŏnsan),42760,111.46,,,,,15178,25788,1794,9260,32241,,,1259,1218,41,2,16,1,1,16,1,,,1,,,,,3,,,15223,560,686,7,2631,5890,1732,1215,391,2111,27537
city,nampo,Chinnanpo (Chinnamp’o),38296,118.51,,,,,13608,22786,1902,5333,32073,,,890,887,3,,3,,,,,,,,,,,,,,,13835,530,906,21,2218,3658,2627,829,203,2843,24461
city,chongjin,Seishin (Ch’ŏngjin),35925,137.96,,,,,11795,23092,1038,8873,25639,,,1413,1402,11,,,9,,2,,,,,,,,,,,,15021,531,2123,27,2340,3606,2614,979,157,2644,20904
city,mokpo,Moppo (Mokp’o),34689,118.83,,,,,12243,21254,1192,7922,26335,1,,431,416,15,,13,2,,,,,,,,,,,,,,14206,819,866,13,2284,5400,1616,1024,741,1443,20483
city,masan,Masan,27885,101.35,,,,,10794,15595,1496,5587,22189,,,109,102,7,6,,,1,,,,,,,,,,,,,9710,1063,182,7,1445,3042,529,1084,611,1747,18175
city,kunsan,Gunzan (Kunsan),26321,130.02,,,,,8647,16858,816,8707,16894,1,,719,718,1,,,1,,,,,,,,,,,,,,11359,361,450,28,2110,4210,1851,937,603,809,14962
