scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,apart,note,parent,parent_pop,nat_total,nat_manchu,nat_han,nat_mongol,nat_hui,nat_other,nat_jp_total,nat_jp,nat_ko,nat_jp_other,nat_third,nat_stateless
territory,manchukuo,Manchukuo (Manchuria),43202880,123.9,,1303143.252,,,"The whole state at the count of May 1943: 新京特別市 and nineteen provinces. The map draws fourteen of those provinces, being traced from a 1935 sheet, and those fourteen shapes hold 35,695,802 of these people with the capital among them; the other 7,507,078 were in the five provinces it has no shape for.",,,40858473,2677288,36870978,1065792,194473,49942,2271495,819614,1450384,1497,3732,69180
city,changchun,"Shinkyō (Hsinking, Changchun)",555009,166.9,,437.650,,yes,"The capital, a special municipality outside any province by 1943. The report shades it as a class of its own on its density plate — 1,268.2 to the square kilometre against 33.2 for the country — and this map draws it as a point, so the choropleth has the five classes below it. These people are counted again in 吉林省 above, the ground the capital stands on being inside the 吉林 this map draws, so nothing adds this row to the provinces.",,,,,,,,,,,,,,
sub-unit,Kirin,"Kirin-shō (Jílín, Kirin)",6163931,124.3,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own. 新京特別市 is counted in here: the report gives the capital apart, and the ground it stands on is inside this shape.",,,,,,,,,,,,,,
sub-unit,Lungkiang,"Ryūkō-shō (Lóngjiāng, Lungkiang)",2093500,125.0,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own.",,,,,,,,,,,,,,
unmapped,Peian,"Hokuan-shō (Běi’ān, Peian)",2318957,131.7,,76183.235,,,"北安省 was made out of the provinces the map draws after 1935, and the map has no shape for it. Its people are in this table and on no card.",,,,,,,,,,,,,,
sub-unit,Heiho,"Kokka-shō (Hēihé, Heiho)",149887,327.0,,118898.851,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Sankiang,"Sankō-shō (Sānjiāng, Sankiang)",1415633,151.1,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own.",,,,,,,,,,,,,,
unmapped,Tungan,"Tōan-shō (Dōng’ān, Tungan)",512240,190.7,,41397.042,,,"東安省 was made out of the provinces the map draws after 1935, and the map has no shape for it. Its people are in this table and on no card.",,,,,,,,,,,,,,
unmapped,Mutankiang,"Botankō-shō (Mǔdānjiāng, Mutankiang)",688424,185.0,,32974.684,,,"牡丹江省 was made out of the provinces the map draws after 1935, and the map has no shape for it. Its people are in this table and on no card.",,,,,,,,,,,,,,
sub-unit,Pin Kiang,"Hinkō-shō (Bīnjiāng, Pinkiang)",4234206,127.1,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own.",,,,,,,,,,,,,,
