scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,parent,parent_pop,reg_jp,reg_tw,reg_ko,for_cn,for_other
territory,formosa,Taiwan (Formosa),6249468,103.54,,,,,,,365682,5832682,2539,48483,82
sub-unit,TwShuTaihoku,"Taihoku-shū (Táiběi, Taipei)",1233882,107.52,,,,,,,153928,1053372,1051,25474,57
sub-unit,TwShuShinchiku,"Shinchiku-shū (Xīnzhú, Hsinchu)",838011,102.52,,,,,,,20693,815274,150,1894,
sub-unit,TwShuTaichu,"Taichū-shū (Táizhōng, Taichung)",1380187,102.09,,,,,,,46371,1329620,333,3856,7
sub-unit,TwShuTainan,Tainan-shū,1550695,100.90,,,,,,,53446,1489621,253,7361,14
sub-unit,TwShuTakao,"Takao-shū (Gāoxióng, Kaohsiung)",930383,105.19,,,,,,,59633,863313,598,6836,3
sub-unit,TwShuKarenko,"Karenkō-chō (Huāliángǎng, Hualien)",153785,110.60,,,,,,,20914,130720,119,2032,
sub-unit,TwShuTaito,"Taitō-chō (Táidōng, Taitung)",93138,109.96,,,,,,,7078,85068,35,956,1
sub-unit,TwShuHoko,"Hōko-chō (Pénghú, the Pescadores)",69387,90.66,,,,,,,3619,65694,,74,
sub-unit,TwTaihoku,"Taihoku-shi (Táiběi, Taipei)",367213,104.92,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,106784,246654,343,13403,29
sub-unit,TwKirunShi,"Kīrun-shi (Jīlóng, Keelung)",106523,107.87,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,25438,75927,521,4635,2
sub-unit,TwGiran,Giran-gun (Yílán),109364,107.55,,,,"Includes 宜蘭市, which the source counts apart: the city was cut out of the district in 1940, after the boundaries this map draws.","Taihoku-shū (Táiběi, Taipei)",1233882,3321,105524,24,495,0
sub-unit,TwShichisei,Shichisei-gun (Qīxīng),91341,105.11,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,2387,88521,2,431,0
sub-unit,TwTansui,"Tansui-gun (Dànshuǐ, Tamsui)",55094,109.03,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,1321,53311,11,436,15
sub-unit,TwKirun,"Kīrun-gun (Jīlóng, Keelung)",148753,118.03,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,4532,139415,24,4773,9
sub-unit,TwRato,Ratō-gun (Luódōng),87863,108.24,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,3902,83574,27,358,2
sub-unit,TwSuo,Suō-gun (Sū’ào),25264,109.62,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,2500,22670,15,79,0
sub-unit,TwBunzan,Bunzan-gun (Wénshān),63975,109.26,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,1016,62706,77,176,0
sub-unit,TwKaizan,Kaizan-gun (Hǎishān),110171,102.69,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,1845,107992,0,334,0
sub-unit,TwShinsho,Shinshō-gun (Xīnzhuāng),68321,106.03,,,,,"Taihoku-shū (Táiběi, Taipei)",1233882,882,67078,7,354,0
