scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,reg_jp,reg_tw,reg_ko,for_cn,for_other
city,taipei,"Taihoku (Taibei, Taipei)",367213,104.92,,,,,106784,246654,343,13403,29
city,kaohsiung,"Takao (Gaoxiong, Kaohsiung)",183185,114.92,,,,,36749,144067,388,1980,1
city,tainan,Tainan,153879,104.74,,,,,18811,131485,101,3477,5
city,keelung,"Kīrun (Jilong, Keelung)",106523,107.87,,,,,25438,75927,521,4635,2
city,chiayi,"Kagi (Jiayi, Chiayi)",98298,106.70,,,,,10987,85605,65,1637,4
city,taichung,"Taichū (Taizhong, Taichung)",97590,105.03,,,,,19658,76751,130,1049,2
city,hsinchu,"Shinchiku (Xinzhu, Hsinchu)",90800,103.38,,,,,9639,80597,74,490,0
city,changhua,"Shōka (Zhanghua, Changhua)",61632,101.70,,,,"The city was cut out of Shōka-gun in 1933, after the boundaries this map draws — so the shape under this dot still carries the district with the city inside it, and this figure is the city alone.",3687,57388,49,508,0
city,pingtung,"Heitō (Pingdong, Pingtung)",59917,109.12,,,,"The city was cut out of Heitō-gun in 1933, after the boundaries this map draws — so the shape under this dot still carries the district with the city inside it, and this figure is the city alone.",8096,50730,65,1026,0
city,yilan,Giran (Yilan),38922,102.66,,,,"The city was cut out of Giran-gun in 1940, after the boundaries this map draws — so the shape under this dot still carries the district with the city inside it, and this figure is the city alone.",2830,35719,24,349,0
city,hualien,"Karenkō (Hualiangang, Hualien)",36984,113.78,,,,"The city was cut out of Karenkō-chō in 1940, after the boundaries this map draws — so the shape under this dot still carries the district with the city inside it, and this figure is the city alone.",10957,25081,96,850,0
