source_id,title,author_or_publisher,type,region_covered,years_covered,url,access,notes
jp_census,Population Census of Japan (国勢調査),Statistics Bureau of Japan,census,Japan proper (naichi); 1920–1940 also Karafuto,"1920, 1925, 1930, 1935, 1940, 1947, 1950",https://www.stat.go.jp/english/data/kokusei/index.html,free,"The spine of the whole exercise. Quinquennial from 1920, so every base year in the 1920–1950 window is covered except the 1945 extraordinary census taken in November after the surrender. City (shi) totals are published for every round. Note the boundary problem: Tokyo City was 35 wards until 1943, when it was merged into Tokyo-to, so 1940 and 1950 figures are not the same unit."
jp_estat,e-Stat portal — historical census tables,Statistics Bureau / NSTAC,census tables (machine-readable),Japan and colonies,1920–,https://www.e-stat.go.jp/en/stat-search?toukei=00200521,free,"Downloadable Excel/CSV of the historical census volumes, including the pre-war rounds. Where you want numbers rather than page images this is the place to start."
jp_chouki,Historical Statistics of Japan (日本長期統計総覧),Statistics Bureau of Japan,statistical compendium,Japan,1868–,https://www.stat.go.jp/english/data/chouki/index.html,free,"Chapter 2 is population. Gives long runs for the largest cities on consistent definitions, which is exactly what a size ranking needs."
ndl_digital,NDL Digital Collections (国立国会図書館デジタルコレクション),National Diet Library,digitised books and serials,Japanese empire,1868–1945,https://dl.ndl.go.jp/,free (some login-restricted),"Where the colonial statistical yearbooks actually live: 日本帝国統計年鑑, 朝鮮総督府統計年報, 台湾総督府統計書, 樺太庁統計書, 南洋庁統計年鑑. Full-text search now works across much of it."
jp_teikoku,Statistical Yearbook of the Japanese Empire (日本帝国統計年鑑),Cabinet Statistics Bureau,statistical yearbook,"Japan, Korea, Taiwan, Karafuto, Kwantung, Nan'yō",1882–1941,https://dl.ndl.go.jp/search/searchResult?searchWord=日本帝国統計年鑑,free,The single volume that puts naichi and all the colonies side by side. Useful precisely because the categories are the empire's own.
kr_sotokufu,Annual Statistical Report of the Government-General of Chōsen (朝鮮総督府統計年報),Chōsen Government-General,statistical yearbook,Korea,1910–1942,https://dl.ndl.go.jp/search/searchResult?searchWord=朝鮮総督府統計年報,free,"Annual population by province and by fu (city). Breaks out Japanese, Korean and other residents separately, which matters for reading the colonial port cities."
kr_census,Census of Chōsen (朝鮮国勢調査報告),Chōsen Government-General,census,Korea,"1925, 1930, 1935, 1940, 1944",https://dl.ndl.go.jp/search/searchResult?searchWord=朝鮮国勢調査報告,free,Korea was enumerated on the Japanese census cycle from 1925. The 1944 round is a wartime simplified count and should be treated as an estimate.
kr_kosis,KOSIS historical population statistics,Statistics Korea,statistical portal,Korea,1925–,https://kosis.kr/eng/,free,"Retrospective series that reproduce the colonial census figures on modern boundaries. Handy for a cross-check, though the reconstruction is not always transparent."
tw_51yr,Taiwan Statistical Abstract of the Past Fifty-One Years (臺灣省五十一年來統計提要),Taiwan Provincial Government Accounting Office,statistical compendium,Taiwan,1894–1945,https://archive.org/search?query=%E8%87%BA%E7%81%A3%E7%9C%81%E4%BA%94%E5%8D%81%E4%B8%80%E5%B9%B4%E4%BE%86%E7%B5%B1%E8%A8%88%E6%8F%90%E8%A6%81,free,"Compiled in 1946 from the Japanese colonial records. The best single source for Taiwanese city populations across the whole colonial period, on consistent definitions."
tw_sotokufu,Statistical Book of the Government-General of Taiwan (臺灣總督府統計書),Taiwan Government-General,statistical yearbook,Taiwan,1897–1942,https://dl.ndl.go.jp/search/searchResult?searchWord=台湾総督府統計書,free,"Annual, with population by street and district. Taiwan also ran full censuses in 1905 and 1915 and then on the Japanese cycle from 1920."
tw_sinica,Taiwan Studies digital resources,Academia Sinica,digitised statistics and maps,Taiwan,1895–1945,http://twstudy.iis.sinica.edu.tw/,free,Digitised colonial-period statistics and the historical GIS layers that go with them.
mk_yearbook,Manchoukuo Year Book / 滿洲國年鑑,Manchuria Daily News / Tōa Keizai Chōsakyoku,yearbook,Manchukuo,1932–1945,https://archive.org/search?query=Manchoukuo+Year+Book,free,"English-language editions exist for 1932–1943. City populations are police-registration counts, not a census, and are consistently soft."
mk_census1940,Manchukuo Provisional Population Census 1940 (臨時國勢調査),State Council of Manchukuo,census,Manchukuo,1940,https://dl.ndl.go.jp/search/searchResult?searchWord=満洲帝国臨時国勢調査,free,The one real enumeration Manchukuo carried out. Everything else for the region is registration data.
smr_reports,South Manchuria Railway reports and statistics,South Manchuria Railway Company (Mantetsu),corporate and research statistics,"Manchuria, north China",1907–1945,https://dl.ndl.go.jp/search/searchResult?searchWord=南満洲鉄道株式会社+統計,free,Mantetsu's research department produced the most detailed economic and demographic surveys of the region. Its city figures for the railway zone are better than the state's.
cn_statistical,Statistical Abstract of the Republic of China (中華民國統計提要),Directorate-General of Budget Accounting and Statistics,statistical compendium,China,"1935, 1940, 1945",https://archive.org/search?query=%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E7%B5%B1%E8%A8%88%E6%8F%90%E8%A6%81,free,Republican China never took a modern census. These are compiled from provincial and municipal returns of very uneven quality; treat as order-of-magnitude.
cn_yearbook,The China Year Book,H. G. W. Woodhead (ed.),yearbook,China,1912–1939,https://archive.org/search?query=%22China+Year+Book%22+Woodhead,free,"An English-language annual with municipal population tables, treaty-port figures and foreign-resident counts. Widely used at the time and easy to cite."
cn_handbook,China Handbook 1937–1945,Chinese Ministry of Information,wartime yearbook,China,1937–1945,https://archive.org/details/chinahandbook1930000chin,free,The Nationalist government's own wartime compilation. Openly propagandistic in places but the administrative and municipal tables are usable.
cn_census1953,First National Population Census of the PRC (第一次全国人口普查),State Statistical Bureau,census,China,1953,https://www.stats.gov.cn/sj/pcsj/,free,"The first real Chinese census. Three years past the window, but for many Chinese cities it is the earliest trustworthy number and a good check on the 1930s estimates."
chgis,China Historical GIS (CHGIS),Harvard University / Fudan University,historical GIS,China,221 BC–1911; extensions to 1949,https://chgis.fairbank.fas.harvard.edu/,free,"Not population, but authoritative on where administrative seats were and when they moved — which is what the provincial-capital variant depends on."
in_census,Census of India,Government of India,census,"British India, princely states, Burma to 1937, Ceylon separately","1921, 1931, 1941, 1951",https://censusindia.gov.in/nada/index.php/catalog,free,Decennial and outstandingly good. Volume I part II tables give town populations down to small towns. The 1941 round was curtailed by the war — tabulation was abandoned for much of it — so 1931 and 1951 are the solid anchors.
in_censusarchive,Census of India report volumes (digitised),Government of India / Internet Archive,census reports,India,1872–1951,https://archive.org/search?query=%22Census+of+India%22+1931,free,Scanned provincial volumes. The Imperial Tables in each provincial report are where town-level figures actually are.
lk_census,Census of Ceylon,Government of Ceylon,census,Ceylon,"1921, 1931, 1946",https://archive.org/search?query=%22Census+of+Ceylon%22,free,Ceylon was enumerated separately from India. The 1946 round is the useful late-window figure.
my_census1931,A Report on the 1931 Census of British Malaya,C. A. Vlieland,census,"Straits Settlements, Federated and Unfederated Malay States",1931,https://archive.org/search?query=Vlieland+census+British+Malaya+1931,free,"The standard pre-war Malayan enumeration, with town populations and a full communal breakdown."
my_census1947,A Report on the 1947 Census of Population (Malayan Union and Singapore),M. V. del Tufo,census,"Malaya, Singapore",1947,https://archive.org/search?query=%22del+Tufo%22+census+1947+Malaya,free,The first post-war count. Reading it against 1931 shows the war's demographic damage directly.
hk_census,Report on the Census of the Colony of Hong Kong / Hong Kong Blue Book,Government of Hong Kong,census and annual returns,Hong Kong,"1921, 1931; annual estimates to 1941; 1950s estimates",https://sunzi.lib.hku.hk/hkgro/index.jsp,free,"The Hong Kong Government Reports Online archive at HKU. There was no census between 1931 and 1961, so 1941 and post-war figures are estimates — and the wartime swing was enormous, from about 1.6 million in 1941 to about 600,000 in 1945 after the Japanese deportations."
id_volkstelling,Volkstelling 1930 (Census of the Netherlands Indies),Departement van Landbouw Nijverheid en Handel,census,Netherlands East Indies,1930,https://archive.org/search?query=Volkstelling+1930+Nederlandsch-Indie,free,"Eight volumes, and the only full enumeration of the Indies. Town populations are in the regional volumes. Nothing comparable exists again until the Indonesian census of 1961."
id_jaaroverzicht,Statistisch Jaaroverzicht van Nederlandsch-Indië,Centraal Kantoor voor de Statistiek Batavia,statistical yearbook,Netherlands East Indies,1922–1940,https://archive.org/search?query=Statistisch+Jaaroverzicht+Nederlandsch-Indie,free,"Annual, and fills the gaps either side of the 1930 census."
