id,hanji,pinyin,romaji,kana,kind,lon,lat,confidence,source_type,source_url,valid_from,valid_to,alt_names,note,district,district_kanji,shu,short
tws001,大甲,Dàjiǎ,Daikō,だいこう,station,120.62716,24.34431,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%94%B2%E9%A7%85,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws002,日南,Rìnán,,,station,120.65390,24.37757,unverified,,,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws003,清水,Qīngshuǐ,,,station,120.56921,24.26426,unverified,,,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws004,甲南,Jiǎnán,,,station,120.60250,24.30354,unverified,,,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws005,後里,Hòulǐ,,,station,120.73304,24.30902,unverified,,,,,,,TwToyohara,豐原郡,Taichū-shū,"A station in Toyohara-gun (豐原郡), Taichū-shū."
tws006,大安,Dà'ān,,,station,120.75009,24.32252,unverified,,,,,,,TwToyohara,豐原郡,Taichū-shū,"A station in Toyohara-gun (豐原郡), Taichū-shū."
tws007,豐原,Fēngyuán,,,station,120.72296,24.25387,unverified,,,,,,,TwToyohara,豐原郡,Taichū-shū,"A station in Toyohara-gun (豐原郡), Taichū-shū."
tws008,沙鹿,Shālù,Sharoku,しゃろく,station,120.55731,24.23689,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B2%99%E9%B9%BF%E9%A7%85,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws009,龍井,Lóngjǐng,Ryūsei,りゅうせい,station,120.54307,24.19757,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E9%BE%8D%E4%BA%95%E9%A7%85,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws010,潭子,Tánzǐ,,,station,120.70591,24.21291,unverified,,,,,,,TwToyohara,豐原郡,Taichū-shū,"A station in Toyohara-gun (豐原郡), Taichū-shū."
