id,en,ja,zh,lat,lon,wiki
paoting,Bǎodìng (Paoting),保定 (Hotei),保定,38.87,115.47,https://en.wikipedia.org/wiki/Baoding
taiyuan,Tàiyuán (Taiyuan),太原 (Taigen),太原,37.87,112.55,https://en.wikipedia.org/wiki/Taiyuan
kaifeng,Kāifēng (Kaifeng),開封 (Kaihō),開封,34.8,114.31,https://en.wikipedia.org/wiki/Kaifeng
hefei,Héféi (Hofei),合肥 (Gōhi),合肥,31.86,117.28,https://en.wikipedia.org/wiki/Hefei
anqing,Ānqìng (Anking),安慶 (Ankei),安慶,30.51,117.05,https://en.wikipedia.org/wiki/Anqing
hangzhou,Hángzhōu (Hangchow),杭州 (Kōshū),杭州,30.27,120.16,https://en.wikipedia.org/wiki/Hangzhou
nanchang,Nánchāng (Nanchang),南昌 (Nanshō),南昌,28.68,115.89,https://en.wikipedia.org/wiki/Nanchang
fuzhou,Fúzhōu (Foochow),福州 (Fukushū),福州,26.07,119.3,https://en.wikipedia.org/wiki/Fuzhou
changsha,Chángshā (Changsha),長沙 (Chōsa),長沙,28.23,112.94,https://en.wikipedia.org/wiki/Changsha
guilin,Guìlín (Kweilin),桂林 (Keirin),桂林,25.27,110.29,https://en.wikipedia.org/wiki/Guilin
nanning,Nánníng (Nanning),南寧 (Nannei),南寧,22.82,108.32,https://en.wikipedia.org/wiki/Nanning
guiyang,Guìyáng (Kweiyang),貴陽 (Kiyō),貴陽,26.65,106.63,https://en.wikipedia.org/wiki/Guiyang
kunming,Kūnmíng (Kunming),昆明 (Konmei),昆明,25.04,102.72,https://en.wikipedia.org/wiki/Kunming
chengdu,Chéngdū (Chengtu),成都 (Seito),成都,30.66,104.07,https://en.wikipedia.org/wiki/Chengdu
lanzhou,Lánzhōu (Lanchow),蘭州 (Ranshū),蘭州,36.06,103.83,https://en.wikipedia.org/wiki/Lanzhou
xining,Xīníng (Sining),西寧 (Seinei),西寧,36.62,101.78,https://en.wikipedia.org/wiki/Xining
yinchuan,Yínchuān (Ningsia),寧夏 (Neika),寧夏（銀川）,38.49,106.23,https://en.wikipedia.org/wiki/Yinchuan
hohhot,Hūhéhàotè (Kweisui),厚和 (Kōwa),歸綏（呼和浩特）,40.84,111.75,https://en.wikipedia.org/wiki/Hohhot
baotou,Bāotóu (Paotow),包頭 (Hōtō),包頭,40.66,109.84,https://en.wikipedia.org/wiki/Baotou
qiqihar,Qíqíhā’ěr (Tsitsihar),チチハル (Chichiharu),齊齊哈爾,47.35,123.92,https://en.wikipedia.org/wiki/Qiqihar
jilincity,Jílín (Kirin),吉林 (Kirin),吉林,43.84,126.55,https://en.wikipedia.org/wiki/Jilin
mudanjiang,Mǔdānjiāng (Mutankiang),牡丹江 (Botankō),牡丹江,44.58,129.6,https://en.wikipedia.org/wiki/Mudanjiang
fushun,Fǔshùn (Fushun),撫順 (Bujun),撫順,41.88,123.94,https://en.wikipedia.org/wiki/Fushun
anshan,Ānshān (Anshan),鞍山 (Anzan),鞍山,41.11,122.99,https://en.wikipedia.org/wiki/Anshan
jinzhou,Jǐnzhōu (Chinchow),錦州 (Kinshū),錦州,41.1,121.13,https://en.wikipedia.org/wiki/Battle_of_Jinzhou
yingkou,Yíngkǒu (Newchwang),営口 (Eikō),營口,40.67,122.24,https://en.wikipedia.org/wiki/Yingkou
dandong,Dāndōng (Antung),安東 (Antō),安東,40.13,124.39,https://en.wikipedia.org/wiki/Dandong
urumqi,Wūlǔmùqí (Urumchi),迪化 (Tekika),迪化（烏魯木齊）,43.83,87.62,https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi
kashgar,Kāshí (Kashgar),カシュガル (Kashugaru),喀什噶爾,39.47,75.99,https://en.wikipedia.org/wiki/Kashgar
lhasa,Lhasa,,,29.65,91.14,https://en.wikipedia.org/wiki/Lhasa
