id,en,jpfrom,local,ko,ja,zh,lat,lon,wiki
paoting,Bǎodìng (Paoting),,,바오딩,保定 (Hotei),保定,38.87,115.47,https://en.wikipedia.org/wiki/Baoding
taiyuan,Tàiyuán,,,타이위안,太原 (Taigen),太原,37.87,112.55,https://en.wikipedia.org/wiki/Taiyuan
kaifeng,Kāifēng,,,카이펑,開封 (Kaihō),開封,34.8,114.31,https://en.wikipedia.org/wiki/Kaifeng
hefei,Héféi (Hofei),,,허페이,合肥 (Gōhi),合肥,31.86,117.28,https://en.wikipedia.org/wiki/Hefei
anqing,Ānqìng (Anking),,,안칭,安慶 (Ankei),安慶,30.51,117.05,https://en.wikipedia.org/wiki/Anqing
hangzhou,Hángzhōu (Hangchow),,,항저우,杭州 (Kōshū),杭州,30.27,120.16,https://en.wikipedia.org/wiki/Hangzhou
nanchang,Nánchāng,,,난창,南昌 (Nanshō),南昌,28.68,115.89,https://en.wikipedia.org/wiki/Nanchang
fuzhou,Fúzhōu (Foochow),,,푸저우,福州 (Fukushū),福州,26.07,119.3,https://en.wikipedia.org/wiki/Fuzhou
changsha,Chángshā,,,창사,長沙 (Chōsa),長沙,28.23,112.94,https://en.wikipedia.org/wiki/Changsha
guilin,Guìlín (Kweilin),,,구이린,桂林 (Keirin),桂林,25.27,110.29,https://en.wikipedia.org/wiki/Guilin
nanning,Nánníng,,,,南寧 (Nannei),南寧,22.82,108.32,https://en.wikipedia.org/wiki/Nanning
guiyang,Guìyáng (Kweiyang),,,구이양,貴陽 (Kiyō),貴陽,26.65,106.63,https://en.wikipedia.org/wiki/Guiyang
kunming,Kūnmíng,,,쿤밍,昆明 (Konmei),昆明,25.04,102.72,https://en.wikipedia.org/wiki/Kunming
chengdu,Chéngdū (Chengtu),,,,成都 (Seito),成都,30.66,104.07,https://en.wikipedia.org/wiki/Chengdu
lanzhou,Lánzhōu (Lanchow),,,,蘭州 (Ranshū),蘭州,36.06,103.83,https://en.wikipedia.org/wiki/Lanzhou
xining,Xīníng (Sining),,,,西寧 (Seinei),西寧,36.62,101.78,https://en.wikipedia.org/wiki/Xining
yinchuan,Yínchuān (Ningsia),,,인촨,寧夏 (Neika),寧夏（銀川）,38.49,106.23,https://en.wikipedia.org/wiki/Yinchuan
hohhot,"Kōwa (Hūhéhàotè, Kweisui)",e1942,Hūhéhàotè (Kweisui),후허하오터,厚和 (Kōwa),歸綏（呼和浩特）,40.84,111.75,https://en.wikipedia.org/wiki/Hohhot
baotou,"Hōtō (Bāotóu, Paotow)",e1942,Bāotóu (Paotow),바오터우,包頭 (Hōtō),包頭,40.66,109.84,https://en.wikipedia.org/wiki/Baotou
qiqihar,"Chichiharu (Qíqíhā’ěr, Tsitsihar)",e1942,Qíqíhā’ěr (Tsitsihar),치치하얼,チチハル (Chichiharu),齊齊哈爾,47.35,123.92,https://en.wikipedia.org/wiki/Qiqihar
jilincity,Kirin (Jílín),e1942,Jílín (Kirin),지린시,吉林 (Kirin),吉林,43.84,126.55,https://en.wikipedia.org/wiki/Jilin_City
mudanjiang,"Botankō (Mǔdānjiāng, Mutankiang)",e1942,Mǔdānjiāng (Mutankiang),무단장,牡丹江 (Botankō),牡丹江,44.58,129.6,https://en.wikipedia.org/wiki/Mudanjiang
fushun,Bujun (Fǔshùn),e1942,Fǔshùn,푸순,撫順 (Bujun),撫順,41.88,123.94,https://en.wikipedia.org/wiki/Fushun
anshan,Anzan (Ānshān),e1942,Ānshān,,鞍山 (Anzan),鞍山,41.11,122.99,https://en.wikipedia.org/wiki/Anshan
jinzhou,"Kinshū (Jǐnzhōu, Chinchow)",e1942,Jǐnzhōu (Chinchow),,錦州 (Kinshū),錦州,41.1,121.13,https://en.wikipedia.org/wiki/Jinzhou
