id,title,flag,on_epoch,source,source_url
air,Airline Routes,air,,Japanese network: [酒井正子「変容する世界の航空界・その4 日本の航空100年」](https://appsv.main.teikyo-u.ac.jp/tosho/keizaigaku44-1-09.pdf) and [昭和五年四月改正 定期航空発着時刻及賃金表 (1930)](https://www.timetableimages.com/ttimages/jat3004.htm). Occupied China: [中華航空株式會社 時刻表 (1940)](https://www.timetableimages.com/ttimages/ckkk/ckkk40c/ckkk3.jpg). Dutch East Indies: [KLM Amsterdam–Batavia summer service (1938)](https://northwestairlineshistory.org/wp-content/uploads/2020/04/KLM-schedule-1938-03-29-AMS-JKT-route.pdf) and the [K.N.I.L.M. route map (c. 1935)](https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~356322~90123241:Complete-Map-of-the-Airlines-of-K-N).,
map1930,1930 Map,,e1930,,
map1942,Dec 1942 Map,,e1942,,
rivers,The Yangzi and Yellow Rivers,rivers,,,
india-rivers,The Rivers of India,indiaRivers,,,
extent,"The Line of Control, December 1942",extent,,,
ccp,Resistance Base Areas,ccp,,,
manchukuo,Manchukuo,manchukuo,,,
mengjiang,Mengjiang,mengjiang,,,
tw-rail,Taiwan Railways,twRail,,"[日治時期鐵路分布圖](https://data.depositar.io/dataset/rd15-07030) (Academia Sinica), reprojected to TWD97, with several stretches traced from the 1944 American 1:25,000 sheet.",https://data.depositar.io/dataset/rd15-07030
kr-rail,Korea Railways,krRail,,"[근대 철도 DB](https://www.hisgeo.info/wiki/%EA%B7%BC%EB%8C%80_%EC%B2%A0%EB%8F%84_DB) by 김종혁, filtered by the year each line opened.",https://www.hisgeo.info/wiki/%EA%B7%BC%EB%8C%80_%EC%B2%A0%EB%8F%84_DB
kf-rail,Karafuto Railways,kfRail,,"Traced for this map from 最新樺太地圖 and the 樺太路線図 at [時刻表倉庫](https://jikokusouko.pages.dev/index.htm), checked against the 1947 U.S. Army sheets.",https://jikokusouko.pages.dev/index.htm
tw-stations,Taiwan Railway Stations,twStations,,,
kr-stations,Korea Railway Stations,krStations,,,
kf-stations,Karafuto Railway Stations,kfStations,,,
jp-rail,Japan Railways,jpRail,,"The Japanese lines for 1930 and 1942 are filtered from the dataset provided by the [国土交通省国土数値情報ダウンロードサイト](https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N05-v1_3.html). The source’s survey begins in 1950, so railways that closed before 1950 are likely to be missing from the data.",https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N05-v1_3.html
jp-stations,Japan Stations,jpStations,,"The Japanese lines for 1930 and 1942 are filtered from the dataset provided by the [国土交通省国土数値情報ダウンロードサイト](https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N05-v1_3.html). The source’s survey begins in 1950, so railways that closed before 1950 are likely to be missing from the data.",https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N05-v1_3.html
tw-sugar,Taiwan Sugar Railways,twSugar,,"[〈日治時期糖鐵分布圖〉](https://data.depositar.io/dataset/rd15-09143), Center for GIS, RCHSS, Academia Sinica.",https://data.depositar.io/dataset/rd15-09143
train-tools,Train Tools,trainTools,,,
relief,Shaded Relief,relief,,"Shaded relief after [Natural Earth](https://www.naturalearthdata.com/), warped once per projection by tools/build_relief.py.",https://www.naturalearthdata.com/
graticule,The Graticule,graticule,,,
