site,size,en,ja,orig,zh,date
bangkok,,,,,,Capital of Siam
batavia,,Batavia,バタビア (Batabia),Batavia,,Dutch from 1619
beijing,,Běipíng (Peiping),,,北平 (Běipíng),Renamed Peiping in 1928
changchun,,Chángchūn,長春 (Chōshun),,長春,Railway junction
chongqing,,,,,,Treaty port from 1891
guangzhou,,,,,,Treaty port from 1842
hanoi,,,,,,Capital of French Indochina from 1902
hiroshima,,,,,,Army headquarters from 1894
kalgan,,,,,,Capital of Chahar province
manila,,,,,,American from 1898
mukden,,,,,,"Battle of Mukden, February–March 1905"
nagasaki,,,,,,Dutch trade from 1641; treaty port 1859
nagoya,,,,,,Castle town and industrial city
naha,,,,,,Okinawa Prefecture from 1879
nanjing,,,,,,Nationalist capital from 1927
rangoon,,Rangoon,,,,British from 1852
saigon,,,,,,French from 1859
shanghai,,,,,,Treaty port from 1843
singapore,,Singapore,シンガポール (Shingapōru),,,Naval base begun 1923
tianjin,,,,,,Convention of 1885
wuhan,,,,,,Treaty port from 1861
xiamen,,,,,,Treaty port from 1842
incheon,small,,,,,
