id,en,jpfrom,local,ja,orig,zh,ko,date,cat,lvl,both,lat,lon,year,wiki
tokyo,Tokyo,,,東京 (Tōkyō),東京 (Tōkyō),東京,도쿄도,Capital from 1868,city,1,,35.68,139.76,1868,https://en.wikipedia.org/wiki/Tokyo
yokohama,Yokohama,,,横浜 (Yokohama),横浜 (Yokohama),橫濱,요코하마,Treaty port opened 1859,city,2,,35.44,139.64,1859,https://en.wikipedia.org/wiki/Yokohama
uraga,Uraga,,,浦賀 (Uraga),浦賀 (Uraga),浦賀,,July 1853,battle,3,yes,35.25,139.72,1853,https://en.wikipedia.org/wiki/Perry_Expedition
shimoda,Shimoda,,,下田 (Shimoda),下田 (Shimoda),下田,,Opened 1854,city,3,,34.67,138.95,1854,https://en.wikipedia.org/wiki/Shimoda_Ropeway
kyoto,Kyoto,,,京都 (Kyōto),京都 (Kyōto),京都,교토,Imperial seat until 1868,city,2,,35.01,135.77,1868,https://en.wikipedia.org/wiki/Kyoto
osaka,Osaka,,,大阪 (Ōsaka),大阪 (Ōsaka),大阪,오사카,Opened 1868,city,2,,34.69,135.5,1868,https://en.wikipedia.org/wiki/Osaka
kobe,Kobe,,,神戸 (Kōbe),神戸 (Kōbe),神戶,고베,Treaty port opened 1868,city,3,,34.69,135.2,1868,https://en.wikipedia.org/wiki/Kobe
nagoya,Nagoya,,,名古屋 (Nagoya),名古屋 (Nagoya),名古屋,나고야,Bombed 1944–1945,city,3,,35.18,136.91,1889,https://en.wikipedia.org/wiki/Nagoya
hiroshima,Hiroshima,,,広島 (Hiroshima),広島 (Hiroshima),廣島,히로시마,"Atomic bomb, 6 August 1945",city,1,yes,34.39,132.46,1894,https://en.wikipedia.org/wiki/Hiroshima
nagasaki,Nagasaki,,,長崎 (Nagasaki),長崎 (Nagasaki),長崎,나가사키,"Atomic bomb, 9 August 1945",city,1,yes,32.74,129.87,1641,https://en.wikipedia.org/wiki/Nagasaki
shimonoseki,Shimonoseki,,,下関 (Shimonoseki),下関 (Shimonoseki),下關,시모노세키,Bombarded 1864; treaty signed April 1895,city,2,,33.96,130.94,1864,https://en.wikipedia.org/wiki/Shimonoseki
kagoshima,Kagoshima,,,鹿児島 (Kagoshima),鹿児島 (Kagoshima),鹿兒島,가고시마,Bombarded 1863; rebellion 1877,city,2,,31.6,130.56,1863,https://en.wikipedia.org/wiki/Kagoshima
hakodate,Hakodate,,,函館 (Hakodate),函館 (Hakodate),函館,하코다테,Opened 1854; Republic of Ezo 1869,city,3,,41.77,140.73,1854,https://en.wikipedia.org/wiki/Hakodate
sapporo,Sapporo,,,札幌 (Sapporo),札幌 (Sapporo),札幌,삿포로,Founded 1869,city,3,,43.06,141.35,1869,https://en.wikipedia.org/wiki/Sapporo
tsushima,Tsushima Strait,,,対馬海峡 (Tsushima Kaikyō),,對馬海峽,대한해협 (Taehan Haehyŏp),27–28 May 1905,battle,3,yes,34.35,129.78,1905,https://en.wikipedia.org/wiki/Battle_of_Tsushima
naha,Naha,,,那覇 (Naha),那覇 (Naafa),那霸,나하,"Battle of Okinawa, April–June 1945",city,1,yes,26.21,127.68,1879,https://en.wikipedia.org/wiki/Naha
iwojima,Iwo Jima (Iō-tō),,,硫黄島 (Iō-tō),硫黄島 (Iō-tō),硫磺島,,19 February – 26 March 1945,battle,2,yes,24.78,141.32,1945,https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima
seoul,"Keijō (Kyŏngsŏng, Seoul)",,"Kyŏngsŏng (Keijō, Seoul)",京城 (Keijō),,京城（漢城）,서울 / 한성 (Sŏul / Hansŏng),Renamed Keijō in 1910,city,1,,37.57,126.98,1876,https://en.wikipedia.org/wiki/Keij%C5%8D
pusan,Fusan (Pusan),,Pusan (Fusan),釜山 (Fusan),,釜山,부산 (Pusan),Opened by treaty 1876,city,2,,35.18,129.08,1876,https://en.wikipedia.org/wiki/Busan
incheon,Jinsen (Inch’ŏn),,Inch’ŏn (Jinsen),仁川 (Jinsen),,仁川,인천 / 제물포 (Inch’ŏn / Chemulp’o),Naval action 9 February 1904,city,3,,37.46,126.71,1883,https://en.wikipedia.org/wiki/Incheon
kanghwa,Kanghwa Island,,,江華島 (Kōkatō),,江華島,강화도 (Kanghwado),Treaty signed 26 February 1876,battle,3,yes,37.75,126.48,1876,https://en.wikipedia.org/wiki/Japan%E2%80%93Korea_Treaty_of_1876
pyongyang,Heijō (P’yŏngyang),,P’yŏngyang (Heijō),平壌 (Heijō),,平壤,평양 (P’yŏngyang),"Battle, 15 September 1894",city,3,,39.02,125.75,1894,https://en.wikipedia.org/wiki/Pyongyang
mukden,"Hōten (Shěnyáng, Mukden)",e1942,Shěnyáng (Mukden),奉天 (Hōten),瀋陽 (Shěnyáng),瀋陽（奉天）,선양,Battle 1905; Manchurian Incident 18 September 1931,city,1,yes,41.8,123.43,1905,https://en.wikipedia.org/wiki/Shenyang
changchun,"Shinkyō (Chángchūn, Hsinking)",e1942,Chángchūn (Hsinking),新京 (Shinkyō),長春 (Chángchūn),長春（新京）,창춘,Capital of Manchukuo from 1932,city,2,,43.88,125.32,1907,https://en.wikipedia.org/wiki/Changchun
harbin,"Harubin (Hā’ěrbīn, Harbin)",e1942,Hā’ěrbīn (Harbin),ハルビン (Harubin),哈爾濱 (Hā’ěrbīn),哈爾濱,하얼빈,Itō assassinated 26 October 1909,city,2,,45.8,126.53,1909,https://en.wikipedia.org/wiki/Harbin
portarthur,"Ryojun (Lǚshùn, Port Arthur)",,"Lǚshùn (Port Arthur, Ryojun)",旅順 (Ryojun),旅順 (Lǚshùn),旅順,뤼순커우구,"Siege, August 1904 – January 1905",city,1,,38.82,121.22,1894,https://en.wikipedia.org/wiki/L%C3%BCshunkou
dairen,"Dairen (Dàlián, Dalny)",,"Dàlián (Dairen, Dalny)",大連 (Dairen),大連 (Dàlián),大連,다롄,Japanese from 1905,city,2,,38.91,121.61,1905,https://en.wikipedia.org/wiki/Dalian
chengde,"Shōtoku (Chéngdé, Chengteh)",e1942,Chéngdé (Chengteh),承徳 (Shōtoku),承德 (Chéngdé),承德,청더,Occupied 4 March 1933,city,3,,40.98,117.94,1933,https://en.wikipedia.org/wiki/Chengde
