id,en,label,labelAt,ja,orig,zh,ko,when,rule,cat,lvl,c,atoms,lights,within,hatch,edge,edgeAtoms,edgeClip,adminOnly,unseen,wiki
japan,Japan,,,内地 (Naichi),日本 (Nihon),日本內地,,The metropole,,metropole,1,,japan,,,,,,,,,https://en.wikipedia.org/wiki/Empire_of_Japan
ryukyu,Ryūkyū and Ōsumi Islands,,,沖縄県・鹿児島県 (Okinawa-ken・Kagoshima-ken),琉球 (Ruuchuu),琉球・沖繩縣,,Annexed 1879,"Okinawa Prefecture, and Kagoshima from the Amami group north",metropole,1,,ryukyu,,,,,,,,,https://en.wikipedia.org/wiki/Ryukyu_Islands
ogasawara,Bonin Islands (Ogasawara),,,小笠原諸島 (Ogasawara Shotō),小笠原諸島,小笠原群島,,Claimed 1876,"Japanese, part of Tokyo prefecture",metropole,3,,ogasawara,,,,,,,,,https://en.wikipedia.org/wiki/Bonin_Islands
chishima,Kurile Islands (Chishima),,,千島列島 (Chishima Rettō),Курильские острова,千島群島,,Japanese from 1875,,metropole,2,,chishima,,,,,,,,,https://en.wikipedia.org/wiki/Kuril_Islands
chosen,Chōsen (Korea),,,朝鮮 (Chōsen),조선 (Chosŏn),朝鮮,조선 (Chosŏn),"Protectorate 1905, annexed 1910",,jpcolony,1,,korea,,,,,,,,,https://en.wikipedia.org/wiki/Korea_under_Japanese_rule
formosa,Taiwan (Formosa),,,臺灣 (Taiwan),臺灣 (Tâi-oân),臺灣,,Japanese colony from 1895,,jpcolony,1,,taiwan,,,,,,,,,https://en.wikipedia.org/wiki/Taiwan_under_Japanese_rule
karafuto,Karafuto (southern Sakhalin),,,樺太 (Karafuto),Южный Сахалин,樺太（南薩哈林）,가라후토청,Japanese from 1905,,jpcolony,1,,karafuto,,,,,,,,,https://en.wikipedia.org/wiki/Karafuto_Prefecture
kwantung,Kwantung Leased Territory,,,関東州 (Kantōshū),關東州 (Guāndōngzhōu),關東州,관동주,Leased from China 1905–1945,,jpcolony,2,,kwantung,,,,,,,,,https://en.wikipedia.org/wiki/Kwantung_Leased_Territory
nanyo,South Seas Mandate,,,南洋群島 (Nan’yō Guntō),,南洋群島,,Japanese from 1914; League mandate from 1920,Japanese mandate,jpcolony,2,,nanyo,,,,,,,,,https://en.wikipedia.org/wiki/South_Seas_Mandate
china,China (Republic of China),,,中華民国 (Chūka Minkoku),中華民國 (Zhōnghuá Mínguó),中華民國,,"Republic from 1912; warlord rule, nominal unity from 1928",,chinese,1,,china,manchuria jehol chahar suiyuan xinjiang,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_China_(1912%E2%80%931949)
manchuria,Manchuria (the Three Eastern Provinces),,,満洲 (Manshū),東三省 (Dōngsānshěng),滿洲（東三省）,만주,"Chinese, under Zhang Xueliang",,chinese,1,,manchuria,,china,,,,,,,https://en.wikipedia.org/wiki/Manchuria
jehol,Rèhé (Jehol),,,熱河 (Nekka),熱河省 (Rèhé shěng),熱河省,,Chinese province from 1928,,chinese,3,,jehol,,china,,,,,,,https://en.wikipedia.org/wiki/Rehe_Province
chahar,Cháhā’ěr (Chahar),,,察哈爾 (Chaharu),察哈爾,察哈爾,차하얼성,Chinese province from 1928,,chinese,3,,chahar,,china,,,,,,,https://en.wikipedia.org/wiki/Chahar_Province
suiyuan,Suíyuǎn (Suiyuan),,,綏遠 (Suien),綏遠,綏遠,쑤이위안성,Chinese province from 1928,,chinese,3,,suiyuan suiyuan_w,,china,,,,,,,https://en.wikipedia.org/wiki/Suiyuan
xinjiang,Xīnjiāng (Sinkiang),,,新疆 (Shinkyō),شىنجاڭ (Shinjang),新疆,,Under largely autonomous provincial rule,,chinese,3,,xinjiang,,china,,,,,,,https://en.wikipedia.org/wiki/Xinjiang
tibet,Tibet,,,チベット (Chibetto),བོད་ (Bod),西藏,,De facto independent from 1913,,frontier,3,,tibet,,,,,,,,,https://en.wikipedia.org/wiki/Tibet_(1912%E2%80%931951)
britishindia,British India (including Burma),,,,,,,Burma a province of India until 1937,,british,1,,india andaman burma saharat,,,,#8f5f6e,burma,92 20.6 97.4 28.4,,,https://en.wikipedia.org/wiki/British_Raj
goa,"Portuguese India — Goa, Damão, Diu, Dadra & Nagar Haveli",,"73.9,15.4",,Estado da Índia,,,Portuguese from 1510,,portuguese,3,,goa,,,,,,,,,https://en.wikipedia.org/wiki/Portuguese_India
pondicherry,"French India — Pondicherry, Karikal, Yanaon, Mahé, Chandernagore",,"79.83,11.93",,Établissements français dans l’Inde,,,French from 1674,,french,3,,pondicherry,,,,,,,,,https://en.wikipedia.org/wiki/French_India
princelystates,Princely states,-,,,,,,Rulers in subsidiary alliance with the Crown,,british,3,,princely,,,,,,,yes,,https://en.wikipedia.org/wiki/Princely_state
ceylon,Ceylon,,,,ලංකාව (Lanka),錫蘭,,Crown colony,,british,3,,ceylon,,,,,,,,,https://en.wikipedia.org/wiki/British_Ceylon
malaya,British Malaya & Singapore,,,英領馬来 (Eiryō Marai),Tanah Melayu / Singapura,馬來亞・新加坡,,Straits Settlements & protected states,,british,2,,malaya malaya_thai christmas,,,,,,,,,https://en.wikipedia.org/wiki/British_Malaya
