id,en,label,labelAt,ja,orig,zh,ko,when,rule,cat,lvl,c,atoms,within,under,hatch,edge,edgeAtoms,edgeClip,edgeWidth,outline,outlineColor,adminOnly,srcOnly,wiki,sub
japan,Japan,,,内地 (Naichi),日本 (Nihon),日本內地,,The metropole,,metropole,1,,japan,,,,,,,,,,,,https://en.wikipedia.org/wiki/Empire_of_Japan,
ryukyu,Ryūkyū and Ōsumi Islands,,,沖縄県・鹿児島県 (Okinawa-ken・Kagoshima-ken),琉球 (Ruuchuu),琉球・沖繩縣,,Annexed 1879,"Okinawa Prefecture, and Kagoshima from the Amami group north",metropole,1,,ryukyu,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ryukyu_Islands,
ogasawara,Bonin Islands (Ogasawara),,,小笠原諸島 (Ogasawara Shotō),小笠原諸島,小笠原群島,,Claimed 1876,"Japanese, part of Tokyo prefecture",metropole,3,,ogasawara,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bonin_Islands,
chishima,Kurile Islands (Chishima),,,千島列島 (Chishima Rettō),Курильские острова,千島群島,,Japanese from 1875,,metropole,2,,chishima,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kuril_Islands,
chosen,Chōsen (Korea),,,朝鮮 (Chōsen),조선 (Chosŏn),朝鮮,조선 (Chosŏn),Annexed 1910–1945,,colony,1,,korea,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korea_under_Japanese_rule,
formosa,Taiwan (Formosa),,,臺灣 (Taiwan),臺灣 (Tâi-oân),臺灣,,Japanese colony 1895–1945,,colony,1,,taiwan,,,,,,,,,,,,https://en.wikipedia.org/wiki/Taiwan_under_Japanese_rule,
karafuto,Karafuto (southern Sakhalin),,,樺太 (Karafuto),Южный Сахалин,樺太（南薩哈林）,가라후토청,Japanese 1905–1945,,colony,1,,karafuto,,,,,,,,,,,,https://en.wikipedia.org/wiki/Karafuto_Prefecture,
kwantung,Kwantung Leased Territory,,,関東州 (Kantōshū),關東州 (Guāndōngzhōu),關東州,관동주,Leased 1905–1945,,colony,2,,kwantung,,,,#9a1813,,,,,,,,https://en.wikipedia.org/wiki/Kwantung_Leased_Territory,
nanyo,South Seas Mandate,,,南洋群島 (Nan’yō Guntō),,南洋群島,,Japanese from 1914; League mandate from 1920,Japanese mandate,colony,2,,nanyo,,,,,,,,,,,,https://en.wikipedia.org/wiki/South_Seas_Mandate,
manchukuo,Manchukuo (Manchuria),,,満洲国 (Manshūkoku),滿洲國,滿洲國,만주국,Japanese-occupied; nominally independent from March 1932,,puppet,1,,manchukuo,,滿洲國,,,,,,,,,,https://en.wikipedia.org/wiki/Manchukuo,
mengjiang,Měngjiāng (Mengchiang),,,蒙古自治邦 (Mōko Jichihō),蒙古自治邦,蒙古自治邦,몽강연합자치정부,"Renamed the Mongol Autonomous Federation, August 1941; federated September 1939; Japanese client from 1936",,puppet,2,,mengjiang,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mengjiang,
nanjinggov,Japanese-occupied China (approximate),Japanese-occupied,,日本占領地区,日軍佔領區,日軍佔領區（大略）,,Occupied from 1937; Nanking government from March 1940,,occupied,1,,occupiedzone,,,,,,,,,,,traced,https://en.wikipedia.org/wiki/Wang_Jingwei_regime,
indochina,French Indochina,,,仏印 (Futsuin),Đông Dương thuộc Pháp,法屬印度支那,,Occupied September 1940 – July 1941,,occupied,2,,indochina,,,,,,,,,,,,https://en.wikipedia.org/wiki/French_Indochina,
burma,Burma,,,緬甸 (Biruma),မြန်မာ (Myanma),緬甸,,Taken 1942; nominal independence August 1943,,occupied,2,,burma,,,,,,,,,,,,https://en.wikipedia.org/wiki/Japanese_occupation_of_Burma,
saharat,Kengtung and the trans-Salween Shan states,,,,สหรัฐไทยเดิม (Saharat Thai Doem),,,Thai-occupied 1942; transferred August 1943,,occupied,3,,saharat,,,thai,,,,,yes,#3da492,,,https://en.wikipedia.org/wiki/Saharat_Thai_Doem,
malaya,Malaya & Shōnantō (Singapore),,,馬来 (Marai)・昭南島 (Shōnantō),Tanah Melayu / Syonan,馬來亞・昭南島,,Invaded 8 December 1941; Singapore fell 15 February 1942,,occupied,1,,malaya christmas,,,,,,,,,,,,https://en.wikipedia.org/wiki/British_Malaya,
malaya_thai,"Kedah, Perlis, Kelantan & Trengganu",,,マレー北部四州,"Kedah, Perlis, Kelantan, Terengganu",馬來北部四邦,,"Transferred to Thailand, October 1943",,occupied,3,,malaya_thai,,,,,,,,yes,#dd3e2c,,,https://en.wikipedia.org/wiki/Si_Rat_Malai,
borneo_br,British Borneo (Kita Boruneo),Kita Boruneo,,北ボルネオ (Kita Boruneo),Borneo,英屬婆羅洲,,Landings 16 December 1941; British surrender 1 April 1942,,occupied,3,,sarawak northborneo brunei,,,,,,,,,,,,https://en.wikipedia.org/wiki/Japanese_occupation_of_British_Borneo,
dei,Netherlands East Indies,,,,Nederlandsch-Indië,,,Conquered January – March 1942,,occupied,1,,dei,,,,,,,,,,,,https://en.wikipedia.org/wiki/Dutch_East_Indies,
philippines,Philippine Islands,,,比島 (Hitō),Pilipinas,菲律賓,,Invaded December 1941; Corregidor fell 6 May 1942,,occupied,1,,philippines,,,,,,,,,,,,https://en.wikipedia.org/wiki/Commonwealth_of_the_Philippines,
