key,en,short,alt,wiki
Myitkyina,Myitkyina,,,
The Triangle,The Triangle,,,
Hukawng Valley,Hukawng Valley,,,
Bhamo,Bhamo,,,
North Hseweni,North Hseweni,,,
Wa States,Wa States,,,
South Hseweni,South Hseweni,,,
Tawng Peng,Tawng Peng,,,
Mongmit,Mongmit,,,
Katha,Katha,,,
Upper Chindwin,Upper Chindwin,,,
Shwebo,Shwebo,,,
Kenglon,Kenglon,,,
Hsipaw,Hsipaw,,,
Chin Hills,Chin Hills,,,
Lower Chindwin,Lower Chindwin,,,
Mandalay,Mandalay,,,
Pakokku,Pakokku,,,
Sagaing,Sagaing,,,
Kyaukse,Kyaukse,,,
Manglon,Manglon,,,
Mong Hsu,Mong Hsu,,,
Mong-Nawng,Mong-Nawng,,,
To Nai,To Nai,,,
Keng Hkam,Keng Hkam,,,
Mong-Kung,Mong-Kung,,,
Lawk Sawk,Lawk Sawk,,,
Laihka,Laihka,,,
Mong Pan,Mong Pan,,,
Mong Nai,Mong Nai,,,
Mawk Mai,Mawk Mai,,,
Kantarawadi,Kantarawadi,,,
Kyebogyi,Kyebogyi,,,
Bawlake,Bawlake,,,
Salween,Salween,,,
Thaton,Thaton,,,
Arakan Hill Distric,Arakan Hill Distric,,,
Pakokku Hill Tracks,Pakokku Hill Tracks,,,
Akyab,Akyab,,,
Myingyan,Myingyan,,,
Meiktila,Meiktila,,,
Maw,Maw,,,
Myinkyado,Myinkyado,,,
Pangtara,Pangtara,,,
Kyaukpyu,Kyaukpyu,,,
Minbu,Minbu,,,
Magwe,Magwe,,,
Yamethin,Yamethin,,,
Mong Pawn,Mong Pawn,,,
Mong-Sit,Mong-Sit,,,
Hopong,Hopong,,,
Lai Hsak,Lai Hsak,,,
Yanghwe,Yanghwe,,,
Nam Hkok,Nam Hkok,,,
Nawn Wawn,Nawn Wawn,,,
Wanyin,Wanyin,,,
Hsahtung,Hsahtung,,,
Loilong,Loilong,,,
Kyong,Kyong,,,
Hsa Mong,Hsa Mong,,,
Mawnang,Mawnang,,,
Pangni,Pangni,,,
Hsikip,Hsikip,,,
Namhkai,Namhkai,,,
Lonpo,Lonpo,,,
Samka,Samka,,,
Namtok,Namtok,,,
Koi,Koi,,,
Mong-Pai,Mong-Pai,,,
Thayetmo,Thayetmo,,,
Sandoway,Sandoway,,,
Toungoo,Toungoo,,,
Pegu,Pegu,,,
Prome,Prome,,,
Henzada,Henzada,,,
Tharawaddy,Tharawaddy,,,
Hanthawaddy,Hanthawaddy,,,
Bassein,Bassein,,,
Myaungmya,Myaungmya,,,
Maubin,Maubin,,,
Pyapon,Pyapon,,,
Amherst,Amherst,,,
Tavoy,Tavoy,,,
Mergui,Mergui,,,
Tenasserim Division,Tenasserim Division,The longest of the divisions,,https://en.wikipedia.org/wiki/Tanintharyi_Region
Arakan Division,Arakan Division,The coast west of the Arakan Yoma,,https://en.wikipedia.org/wiki/Arakan_Division
Pegu Division,Pegu Division,The lower Sittang and the country round Rangoon,,https://en.wikipedia.org/wiki/Bago_Region
Irrawaddy Division,Irrawaddy Division,"The delta proper — Bassein, Henzada, Myaungmya, Maubin and Pyapon",,https://en.wikipedia.org/wiki/Ayeyarwady_Region
Sagaing Division,Sagaing Division,The largest division and the emptiest,,https://en.wikipedia.org/wiki/Sagaing_Region
Mandalay Division,Mandalay Division,"The last royal capital, taken in November 1885",,https://en.wikipedia.org/wiki/Mandalay_Region
Magwe Division,Magwe Division,The dry zone: the middle Irrawaddy in the rain shadow of the Arakan Yoma,,https://en.wikipedia.org/wiki/Magway_Region
Federated Shan States,Federated Shan States,The plateau east of the Sittang,,https://en.wikipedia.org/wiki/Shan_States
Karenni States,Karenni States,"Four states in treaty relations with the Crown, never annexed and never part of Burma proper.",,https://en.wikipedia.org/wiki/Karenni_States
