key,en,short,ko,ja,zh,wiki
Shaan-Gan-Ning,Shǎngānníng border region — Yenan,"The party's own ground, and the only base area Japan never entered",,陝甘寧辺区,陝甘寧邊區,https://en.wikipedia.org/wiki/Yan'an_Soviet
Jin-Sui,Jìnsuí — Shansi and Suiyuan,The corridor between Yan'an and the rest of the movement,,,晉綏,
Jin-Cha-Ji,"Jìnchájì — Shansi, Chahar and Hopei",The first base area established behind the Japanese line,,,晉察冀,https://en.wikipedia.org/wiki/Jin-Cha-Ji_Border_Region
Jinan,Jìnán (Chi-nan) — southern Hopei,"The southern Hebei plain, flat and with no hills to retreat into",,,冀南,
Taihang and Taiyue,Tàiháng and Tàiyuè,The mountain spine the Eighth Route Army's 129th Division held,,,太行・太岳,
Ji-Lu-Yu,"Jìlǔyù — Hopei, Shantung and Honan","Where Hebei, Shandong and Henan meet, astride the Yellow River's new course",,,冀魯豫,
Qinghe,Qīnghé — the Yellow River delta,"The Yellow River delta in northern Shandong, salt flats and reed beds",,,清河,
Jiaodong,Jiāodōng — the Shantung peninsula,"The Shandong peninsula, with the gold mines that helped pay for the movement",,,膠東,
Luzhong,Lǔzhōng — central Shantung,"The hill country of central Shandong, and the seat of the Shandong command",,,魯中,
Lunan,Lǔnán — southern Shantung,"Southern Shandong, on the Tianjin–Pukou railway",,,魯南,
Binhai,Bīnhǎi — the Shantung coast south of Kiaochow,The coastal strip south of Jiaozhou Bay,,,濱海,
Subei,Sūběi — northern Kiangsu,The New Fourth Army's main ground after the January 1941 incident,,,蘇北,
Huaibei,Huáiběi — north of the Huai,"North of the Huai, between the railway and the lakes",,,淮北,
Huainan,Huáinán — south of the Huai,"Between the Huai and the Yangtze, close to Nanjing and raided constantly",,,淮南,
Suzhong,Sūzhōng — central Kiangsu,The rice and cotton country north of the Yangtze,,,蘇中,
Sunan,Sūnán — southern Kiangsu,"South of the Yangtze, the most heavily occupied country in China",,,蘇南,
Wanjiang,Wǎnjiāng — the Anhwei Yangtze,"The Anhui bank of the Yangtze, west of Nanjing",,,皖江,
Zhedong,Zhèdōng — eastern Chekiang,"Eastern Zhejiang, behind the coast south of Hangzhou Bay",,,浙東,
E-Yu-Wan,"Èyùwǎn — Hupeh, Honan and Anhwei","Where Hubei, Henan and Anhui meet in the Dabie mountains",,,鄂豫皖,
