key,en
Anhui,Ānhuī (Anhwei)
Chahaer,Cháhā’ěr (Chahar)
Fujian,Fújiàn (Fukien)
Gansu,Gānsù (Kansu)
Guangdong,Guǎngdōng (Kwangtung)
Guangxi,Guǎngxī (Kwangsi)
Guizhou,Guìzhōu (Kweichow)
Hebei,Héběi (Hopei)
Heilongjiang,Hēilóngjiāng (Heilungkiang) — called Lungkiang under Manchukuo
Henan,Hénán (Honan)
Hubei,Húběi (Hupeh)
Hunan,Húnán
Jehol,Rèhé (Jehol)
Jiangsu,Jiāngsū (Kiangsu)
Jiangxi,Jiāngxī (Kiangsi)
Jilin,Jílín (Kirin)
Liaoning,Liáoníng — called Fengtien again under Manchukuo
Ningxia,Níngxià (Ninghsia)
Qinghai,Qīnghǎi (Tsinghai)
Shaanxi,Shǎnxī (Shensi)
Shandong,Shāndōng (Shantung)
Shanxi,Shānxī (Shansi)
Sichuan,Sìchuān (Szechwan)
Suiyuan,"Suíyuǎn (Suiyuan) — the eastern half, which Mengchiang held"
SuiyuanWest,"Western Suíyuǎn — Wuyuan, Linhe and the Ordos, held by Fu Tso-yi throughout"
Xikang,"Xīkāng (Sikang) — a special administrative region until 1939, then a province"
Xinjiang,Xīnjiāng (Sinkiang)
Xizang,Tibet
Yunnan,Yúnnán
Zhejiang,Zhèjiāng (Chekiang)
