key,en,short,alt,wiki
Noord Banjoemas,Noord Banjoemas,The northern half of the Banjoemas country,Banyumas,https://en.wikipedia.org/wiki/Banyumas_Regency
Pekalongan,Pekalongan,Formed from merger of Pekalongan and Tegal,,https://en.wikipedia.org/wiki/Pekalongan_Regency
Wonosobo,Wonosobo,The highlands of Central Java,,https://en.wikipedia.org/wiki/Wonosobo_Regency
Semarang,Semarang,Absorbed much of Blora and some of Koedoes.,,https://en.wikipedia.org/wiki/Semarang_Regency
Blora,Blora,"Inland Central Java, south of Rembang",,https://en.wikipedia.org/wiki/Blora_Regency
Koedoes,Koedoes,A residency only between 1928 and 1931,Kudus,https://en.wikipedia.org/wiki/Koedoes_Residency
Rembang,Rembang,The north-east coast of Central Java,,https://en.wikipedia.org/wiki/Rembang_Regency
Kedoe,Kedoe,"Formed from merger of Kedoe, Bagelen, and part of Wonosobo.",Kedu,https://en.wikipedia.org/wiki/Kedu_Residency
Bagelen,Bagelen,Area also known as Purworejo and Purwareja,,https://en.wikipedia.org/wiki/Purworejo_Regency
Soerakarta,Soerakarta,A princely land under its own susuhunan,Surakarta,
Klaten,Klaten,Part of the Soerakarta lands,,https://en.wikipedia.org/wiki/Klaten_Regency
Jogjakarta,Jogjakarta,A sultanate left under its own ruler,Yogyakarta,https://en.wikipedia.org/wiki/Yogyakarta_Sultanate
Bodjonegoro,Bodjonegoro,Formed from merger of Bodjonegoro and Grisee.,,https://en.wikipedia.org/wiki/Bojonegoro_Regency
Grisee,Grisee,Also Gresik,,https://en.wikipedia.org/wiki/Gresik_Regency
Soerabaja,Soerabaja,Formed from merger of Soerabaja and Modjokerto.,Surabaya,https://en.wikipedia.org/wiki/Surabaya
Madioen,Madioen,Formed from merger of Madioen and Ponorogo.,Madiun,https://en.wikipedia.org/wiki/Madiun
Kediri,Kediri,Formed from merger of Kediri and Blitar.,,https://en.wikipedia.org/wiki/Kediri_Regency
Modjokerto,Modjokerto,Inland from Soerabaja on the Brantas,Mojokerto,
Pasoeroean,Pasoeroean,The north-east coast of Java,Pasuruan,https://en.wikipedia.org/wiki/Pasuruan_Regency
Ponorogo,Ponorogo,"Inland East Java, south of Madioen",,https://en.wikipedia.org/wiki/Ponorogo_Regency
Blitar,Blitar,The upper Brantas in southern East Java,,https://en.wikipedia.org/wiki/Blitar_Regency
Malang,Malang,Formed from merger of Malang and Pasoeroean,,https://en.wikipedia.org/wiki/Malang_Regency
Probolinggo,Probolinggo,Also Prabalingga,,https://en.wikipedia.org/wiki/Probolinggo_Regency
Bondowoso,Bondowoso,The eastern corner of Java,,https://en.wikipedia.org/wiki/Bondowoso_Regency
Djember,Djember,The south-eastern corner of Java,Jember,https://en.wikipedia.org/wiki/Jember_Regency
West-Madoera,West-Madoera,The western half of Madura,Madura,https://en.wikipedia.org/wiki/Madoera_Residency
Oost-Madoera,Oost-Madoera,The eastern half of Madura,Madura,https://en.wikipedia.org/wiki/Madoera_Residency
Bantam,Bantam,The western end of Java,Banten,https://en.wikipedia.org/wiki/Banten
Batavia,Batavia,Formed from merger of Batavia and Krawang.,Jakarta,"https://en.wikipedia.org/wiki/Batavia,_Dutch_East_Indies"
Buitenzorg,Buitenzorg,Formed from merger of West-Priangan and Buitenzorg.,Bogor,https://en.wikipedia.org/wiki/Buitenzorg_Residency
West-Priangan,West-Priangan,Also Parahyangan. Successor to the Preanger Regencies Residency.,Preanger,https://en.wikipedia.org/wiki/Preanger_Regencies_Residency
Midden-Priangan,Midden-Priangan,Also Parahyangan. Successor to the Preanger Regencies Residency.,Preanger,https://en.wikipedia.org/wiki/Preanger_Regencies_Residency
Krawang,Krawang,The coast east of Batavia,Karawang,https://en.wikipedia.org/wiki/Karawang_Regency
Indramajoe,Indramajoe,The coast between Krawang and Cheribon,Indramayu,https://en.wikipedia.org/wiki/Indramayu_Regency
Oost-Priangan,Oost-Priangan,Also Parahyangan. Successor to the Preanger Regencies Residency.,Preanger,https://en.wikipedia.org/wiki/Preanger_Regencies_Residency
Cheribon,Cheribon,Formed from merger of Cheribon and Indramajoe,,
Tegal,Tegal,The north coast west of Pekalongan,,
Zuid Banjoemas,Zuid Banjoemas,"The southern half, down to the Indian Ocean",,
Atjeh en Onderhoorigheden,Atjeh en Onderhoorigheden,"A gouvernement until 1938, then a residency",Atjeh and Dependencies,https://en.wikipedia.org/wiki/Gouvernment_of_Atjeh_and_Dependencies
Djambi,Djambi,"A residency of eastern Sumatra, made in 1906",Jambi,https://en.wikipedia.org/wiki/Djambi_Residency
Palembang,Palembang,South-eastern Sumatra,Palembang,
Tapanoeli,Tapanoeli,The Batak country and Lake Toba,Tapanuli,https://en.wikipedia.org/wiki/Tapanuli_Residency
Oostkust van Sumatra,Oostkust van Sumatra,"The plantation belt, seat Medan",Sumatra's East Coast,https://en.wikipedia.org/wiki/Sumatra%27s_East_Coast_Residency
Riouw en Onderhoorigheden,Riouw en Onderhoorigheden,The islands between Sumatra and Singapore,Riau and Dependencies,https://en.wikipedia.org/wiki/Riau_Residency
Bangka en Onderhoorigheden,Bangka en Onderhoorigheden,The tin island east of Sumatra,Bangka and Dependencies,
Assistent-Residentie Billiton,Assistent-Residentie Billiton,The other tin island,Billiton (Belitung) Assistant Residency,
Bengkoelen,Bengkoelen,Also Bencoolen and today Bengkulu.,Benkoelen,https://en.wikipedia.org/wiki/Benkoelen_Residency
Lampongsche Districten,Lampongsche Districten,The southern tip of Sumatra,Lampong Districts,
Sumatra's Westkust,Sumatra's Westkust,The west coast and its islands,Sumatra's West Coast,https://en.wikipedia.org/wiki/Sumatra%27s_West_Coast_Residency
Sintang,Sintang,The upper Kapuas,Sintang,
Bandjermasin,Bandjermasin,The southern river port of Borneo,Bandjermasin,
Zuidoostkust van Borneo,Zuidoostkust van Borneo,Afdeeling Pasir en de Tanah Boemboelanden until 1930.,South-East Coast of Borneo,
Doesoenlanden,Doesoenlanden,The Dusun country inland,Dusun Lands,
Pontianak,Pontianak,The mouth of the Kapuas,Pontianak,
Singkawang,Singkawang,The Sambas country of north-west Borneo,Singkawang,
Boeloengan,Boeloengan,The north-east corner of Dutch Borneo,Bulungan,
Samarinda,Samarinda,The Mahakam and the Kutai country,Samarinda,
Hoeloe Soengei,Hoeloe Soengei,The upper rivers of south-east Borneo,Hulu Sungai,
Koealakapoeas,Koealakapoeas,The rivers west of Bandjermasin,Kuala Kapua,
Ketapang,Ketapang,The south-west coast of Borneo,Ketapang,
Bali en Lombok,Bali en Lombok,Two islands in one residency,Bali and Lombok,
Timor en Onderhoorigheden,Timor en Onderhoorigheden,Dutch Timor and the islands round it,Timor and Dependencies,https://en.wikipedia.org/wiki/Timor_and_Dependencies_Residency
Celebes en Onderhoorigheden,Celebes en Onderhoorigheden,"Southern Celebes, seat Makassar",Celebes and Dependencies,https://en.wikipedia.org/wiki/Dutch_Celebes
Manado,Manado,The northern arm of Celebes,Manado,
Gouvernement der Molukken,Gouvernement der Molukken,"The Moluccas, and New Guinea with them",,
West-Java,West-Java,"A province of Java from 1925, seat Batavia",,
Midden-Java,Midden-Java,"A province of Java from 1925, seat Semarang",,
Oost-Java,Oost-Java,"A province of Java from 1925, seat Soerabaja",,
Westerafdeeling van Borneo,Westerafdeeling van Borneo,"One of the two Borneo residencies, seat Pontianak",,
Zuider- en Oosterafdeeling van Borneo,Zuider- en Oosterafdeeling van Borneo,"The other Borneo residency, seat Bandjermasin",,
Djapara-Rembang,Djapara-Rembang,Absorbed much of Koedoes and some of Blora.,,https://en.wikipedia.org/wiki/Rembang_Regency
Besoeki,Besoeki,Formed from merger of Bondowoso and Djember.,,https://en.wikipedia.org/wiki/Bondowoso_Regency
Madoera,Madoera,Formed from merger of West and Oost-Madoera.,Madura,https://en.wikipedia.org/wiki/Madoera_Residency
Priangan,Priangan,Formed from merger of Midden-Priangan and Oost-Priangan,Preanger,https://en.wikipedia.org/wiki/Preanger_Regencies_Residency
Banjoemas,Banjoemas,"Formed from a merger of Zuid-Banjoemas, Noord-Banjoemas, Wonosobo.",,
Gouvernement Borneo,Gouvernement Borneo,"The 1938 gouvernement, seat Bandjermasin",,
