key,en,short,ko,ja,zh,wiki
Shumshu (Shimushu),Shumshu (Shimushu),"The northernmost island, heavily garrisoned and facing Kamchatka",슘슈섬,占守島 (Shumushu-tō),占守島,https://en.wikipedia.org/wiki/Shumshu
Alaid (Araito),Alaid (Araito),A volcanic cone off Shumshu,아틀라소프섬,阿頼度島 (Araito-tō),阿賴度島,https://en.wikipedia.org/wiki/Atlasov_Island
Paramushir (Paramushiro),Paramushir (Paramushiro),The naval and air base from which the Aleutian operation was mounted,파라무시르섬,幌筵島 (Paramushiro-tō),幌筵島,https://en.wikipedia.org/wiki/Paramushir
Makanrushi (Makanru),Makanrushi (Makanru),"Uninhabited, and used only by fishing crews in season",마칸루시섬,磨勘留島 (Makanru-tō),磨勘留島,https://en.wikipedia.org/wiki/Makanrushi
Onekotan,Onekotan,"Uninhabited but for its wartime garrison, and two great calderas",오네코탄섬,温禰古丹島 (Onnekotan-tō),溫禰古丹島,https://en.wikipedia.org/wiki/Onekotan
Kharimkotan (Harimukotan),Kharimkotan (Harimukotan),Uninhabited; its 1933 eruption swept the shore,하림코탄섬,春牟古丹島 (Harimukotan-tō),春牟古丹島,https://en.wikipedia.org/wiki/Harimkotan
Ekarma,Ekarma,Uninhabited,예카르마섬,越渇磨島 (Ekaruma-tō),越渴磨島,https://en.wikipedia.org/wiki/Ekarma
Shiashkotan (Shasukotan),Shiashkotan (Shasukotan),A small settlement and a fox farm,시아시코탄섬,捨子古丹島 (Shasukotan-tō),捨子古丹島,https://en.wikipedia.org/wiki/Shiashkotan
Matua (Matsuwa),Matua (Matsuwa),An airfield in the middle of the chain,마투아섬,松輪島 (Matsuwa-tō),松輪島,https://en.wikipedia.org/wiki/Matua_(island)
Rasshua (Rasuwa),Rasshua (Rasuwa),Uninhabited,,羅処和島 (Rasuwa-tō),羅處和島,https://en.wikipedia.org/wiki/Rasshua
Ketoy (Ketoi),Ketoy (Ketoi),Uninhabited,케토이섬,計吐夷島 (Ketoi-tō),計吐夷島,https://en.wikipedia.org/wiki/Ketoy
Simushir (Shimushiru),Simushir (Shimushiru),"A garrison, and a flooded crater making one of the few anchorages",시무시르섬,新知島 (Shimushiru-tō),新知島,https://en.wikipedia.org/wiki/Simushir
Chirpoy (Chirihoi),Chirpoy (Chirihoi),Uninhabited,초르니예브라티야섬,知理保以島 (Chirihoi-tō),知理保以島,https://en.wikipedia.org/wiki/Chyornye_Bratya
Urup (Uruppu),Urup (Uruppu),Sea otter hunting ground,우루프섬,得撫島 (Uruppu-tō),得撫島,https://en.wikipedia.org/wiki/Urup
Etorofu (Iturup),Etorofu (Iturup) — the Pearl Harbor fleet sailed from Hitokappu Bay,,이투루프섬,択捉島 (Etorofu-tō),擇捉島,https://en.wikipedia.org/wiki/Iturup
Kunashiri (Kunashir),Kunashiri (Kunashir),The southernmost large island,쿠나시르섬,国後島 (Kunashiri-tō),國後島,https://en.wikipedia.org/wiki/Kunashir
Shikotan,Shikotan,Taken by Soviet troops on 1 September 1945,시코탄섬,色丹島 (Shikotan-tō),色丹島,https://en.wikipedia.org/wiki/Shikotan
the Habomai Islands,The Habomai Islands,"A scatter of islets in sight of Hokkaidō, taken between 1 and 5 September 1945",,歯舞群島 (Habomai Guntō),齒舞群島,https://en.wikipedia.org/wiki/Habomai_Islands
