key,en,short,ja,wiki
Sarawak,Sarawak,A private kingdom under the Brooke rajahs,,https://en.wikipedia.org/wiki/Sarawak
NorthBorneo,North Borneo,Governed by the British North Borneo Chartered Company from 1881,,https://en.wikipedia.org/wiki/North_Borneo
Labuan,"Labuan — a Straits Settlement from 1907 until 1946, not company territory",,,https://en.wikipedia.org/wiki/Labuan
Brunei,Brunei,What was left of a sultanate that had claimed the whole of northern Borneo,,https://en.wikipedia.org/wiki/Brunei
Johor,Johore — Unfederated Malay State,,,https://en.wikipedia.org/wiki/Johor
Pahang,Pahang — Federated Malay State,,,https://en.wikipedia.org/wiki/Pahang
Perak,Perak — Federated Malay State,,,https://en.wikipedia.org/wiki/Perak
Selangor,Selangor — Federated Malay State,,,https://en.wikipedia.org/wiki/Selangor
NegeriSembilan,Negri Sembilan — Federated Malay State,,,https://en.wikipedia.org/wiki/Negeri_Sembilan
Malacca,"Malacca — Straits Settlement, a Crown colony ruled from Singapore",,,https://en.wikipedia.org/wiki/Malacca
Singapore,"Singapore — Straits Settlement, and the capital of the colony",,,https://en.wikipedia.org/wiki/Singapore
Penang,"Penang — Straits Settlement, with Province Wellesley on the mainland",,,https://en.wikipedia.org/wiki/Penang
Dindings,The Dindings — Straits Settlement until 1935,,,https://en.wikipedia.org/wiki/Manjung_District
Christmas Island,"Christmas Island — annexed 1888, attached to the Straits Settlements in 1900 and run from Singapore, worked for phosphate","A single block of limestone in the Indian Ocean, uninhabited until the 1880s",クリスマス島 (Kurisumasu-tō),https://en.wikipedia.org/wiki/Christmas_Island
Kedah,Kedah — Unfederated Malay State,,,https://en.wikipedia.org/wiki/Kedah
Perlis,Perlis — Unfederated Malay State,,,https://en.wikipedia.org/wiki/Perlis
Kelantan,Kelantan — Unfederated Malay State,,,https://en.wikipedia.org/wiki/Kelantan
Terengganu,Trengganu — Unfederated Malay State,,,https://en.wikipedia.org/wiki/Terengganu
