key,en,short,wiki
Atjeh,Atjeh and Dependencies (Sumatra),,https://en.wikipedia.org/wiki/Aceh
SumatraEastCoast,Sumatra’s East Coast and Tapanoeli,,
SumatraWestCoast,Sumatra’s West Coast,,https://en.wikipedia.org/wiki/West_Sumatra
Riouw,Riouw and Dependencies,,https://en.wikipedia.org/wiki/Riau_Residency
Djambi,Djambi (Sumatra),,https://en.wikipedia.org/wiki/Jambi
Palembang,Palembang (Sumatra),,https://en.wikipedia.org/wiki/Palembang
BankaBilliton,Banka and Billiton,,https://en.wikipedia.org/wiki/Bangka_Belitung_Islands
Benkoelen,Benkoelen (Sumatra),,https://en.wikipedia.org/wiki/Bengkulu
Lampongs,The Lampongs (Sumatra),,https://en.wikipedia.org/wiki/Sumatra
WestJava,"West Java — Bantam, Batavia, Preanger",,https://en.wikipedia.org/wiki/West_Java
CentralJava,Central Java — with the princely land of Soerakarta,,https://en.wikipedia.org/wiki/Central_Java
Jogjakarta,Jogjakarta (princely land),,https://en.wikipedia.org/wiki/Yogyakarta_Sultanate
EastJava,East Java — with Madura,,https://en.wikipedia.org/wiki/East_Java
WestBorneo,West Borneo,,https://en.wikipedia.org/wiki/West_Kalimantan
SouthEastBorneo,South and East Borneo,,https://en.wikipedia.org/wiki/South_Kalimantan
Menado,Menado — northern and central Celebes,,https://en.wikipedia.org/wiki/Manado
Celebes,Celebes and Dependencies,,https://en.wikipedia.org/wiki/Sulawesi
