key,en,short,ja,zh,ko,wiki
Bihar,Bihar Province,,,,,https://en.wikipedia.org/wiki/Bihar_Province
Chichijima,,"A fortified naval base, bombed from 1944 but never invaded",,,,
Christmas Island,Christmas Island — taken by Japan on 31 March 1942 for its phosphate,,クリスマス島 (Kurisumasu-tō),,,https://en.wikipedia.org/wiki/Christmas_Island
Chuseihoku,,"The only province in Korea with no coastline. 1942 Estimated Population: 928,817 · Males per 100 Females: 102.5 · % of Total Korea: 3.9 · Per km²: 125",,,,
Chuseinan,,"The lower Kŭm river and the tidal flats of the west coast. 1942 Estimated Population: 1,568,708 · Males per 100 Females: 100.3 · % of Total Korea: 6.5 · Per km²: 195",,,,
Dindings,The Dindings — part of Perak again since 16 February 1935,,,,,
Funafuti,Funafuti — the American base from October 1942,,,,,https://en.wikipedia.org/wiki/Funafuti
Hahajima,,Shelled and bombed and then left alone,,,,
Heianhoku,,"The north-western march, with the Yalu as its border: the river carried the timber trade. 1942 Estimated Population: 1,728,627 · Males per 100 Females: 99.8 · % of Total Korea: 7.2 · Per km²: 61",,,,
Heiannan,,"P'yŏngyang, the oldest city in Korea and the one with the largest Christian community. 1942 Estimated Population: 1,684,444 · Males per 100 Females: 99.7 · % of Total Korea: 7.0 · Per km²: 114",,,,
Heilongjiang,Lóngjiāng (Lungkiang),,黒竜江省,龍江,헤이룽장성,https://en.wikipedia.org/wiki/Heilongjiang
Iwo Jima (Iō-tō),,"Its civilians taken off in 1944, and the island made a fortress",,,,
Kankyohoku,,"The far north-east, against the Tumen and the Soviet and Manchurian borders: mountains. 1942 Estimated Population: 1,110,305 · Males per 100 Females: 109.3 · % of Total Korea: 4.6 · Per km²: 54",,,,
Kankyonan,,"A narrow coastal shelf under high mountains. 1942 Estimated Population: 1,860,606 · Males per 100 Females: 104.3 · % of Total Korea: 7.7 · Per km²: 58",,,,
Keiki,,"The Han river plain around Keijō — Seoul, renamed and rebuilt as the colonial capital. 1942 Estimated Population: 2,830,778 · Males per 100 Females: 101.0 · % of Total Korea: 11.7 · Per km²: 223",,,,
Keishohoku,,"The Naktong river's upper basin, hills and small plains. 1942 Estimated Population: 2,391,043 · Males per 100 Females: 97.8 · % of Total Korea: 9.9 · Per km²: 126",,,,
Keishonan,,"The end of the peninsula facing Japan, and the province the colony was entered through. 1942 Estimated Population: 2,145,070 · Males per 100 Females: 96.1 · % of Total Korea: 8.9 · Per km²: 174",,,,
Kogen,,"The Taebaek range down its spine, and very little flat ground. 1942 Estimated Population: 1,806,504 · Males per 100 Females: 105.7 · % of Total Korea: 7.5 · Per km²: 69",,,,
Kokai,,"The province between the capital and P'yŏngyang, rolling hills opening on the Yellow Sea. 1942 Estimated Population: 1,841,851 · Males per 100 Females: 99.5 · % of Total Korea: 7.6 · Per km²: 110",,,,
Labuan,Labuan — under the Japanese military administration of British Borneo,,,,,https://en.wikipedia.org/wiki/Labuan
Liaoning,Fèngtiān (Fengtien),,奉天 (Hōten),奉天,봉천 (Pongch’ŏn),https://en.wikipedia.org/wiki/Liaoning
Malacca,Malacca — under the Japanese military administration of Malaya,,,,,https://en.wikipedia.org/wiki/Malacca
Nanumea,Nanumea — an American airfield from 1943,,,,,https://en.wikipedia.org/wiki/Nanumea
Nukufetau,Nukufetau — an American airfield from 1943,,,,,https://en.wikipedia.org/wiki/Nukufetau
Orissa,Orissa Province — the Orissa States are drawn inside it,,,,,https://en.wikipedia.org/wiki/Orissa_Province
Penang,Penang — under the Japanese military administration of Malaya,,,,,https://en.wikipedia.org/wiki/Penang
Saishu,,"A volcanic island a hundred kilometres off the south coast. Counted in Zenranan-dō in the 1942 returns, which do not break the island out separately.",,,,
SiSaKet,Sisaket (Khukhan until 1938),,,,,https://en.wikipedia.org/wiki/Sisaket
Sind,Sind Province,,,,,https://en.wikipedia.org/wiki/Sindh
Singapore,Singapore — Shōnantō under Japanese military administration,,,,,https://en.wikipedia.org/wiki/Singapore
Sukhothai,Sukhothai (Sawankhalok until 1939),,,,,https://en.wikipedia.org/wiki/Sukhothai_province
UnitedProvinces,United Provinces,,,,,https://en.wikipedia.org/wiki/United_Provinces_(1937%E2%80%931950)
Zenrahoku,,"The Honam plain, the largest stretch of paddy in Korea. 1942 Estimated Population: 1,561,479 · Males per 100 Females: 99.6 · % of Total Korea: 6.5 · Per km²: 184",,,,
Zenranan,,"The south-western corner and its archipelago — several thousand islands. 1942 Estimated Population: 2,647,674 · Males per 100 Females: 97.2 · % of Total Korea: 11.0 · Per km²: 190",,,,
