key,en
Abra,Abra (Luzon)
Agusan,Agusan (Mindanao)
Albay,"Albay (Luzon, with the sub-province of Catanduanes)"
Antique,Antique (Panay)
Bataan,Bataan (Luzon)
Batanes,Batanes
Batangas,Batangas (Luzon)
Bukidnon,Bukidnon (Mindanao)
Bulacan,Bulacan (Luzon)
Cagayan,Cagayan (Luzon)
CamarinesNorte,Camarines Norte (Luzon)
CamarinesSur,Camarines Sur (Luzon)
Capiz,Capiz (Panay)
Cavite,Cavite (Luzon)
Cotabato,Cotabato (Mindanao)
Davao,Davao (Mindanao)
IlocosNorte,Ilocos Norte (Luzon)
IlocosSur,Ilocos Sur (Luzon)
Iloilo,Iloilo (Panay)
Isabela,Isabela (Luzon)
Laguna,Laguna (Luzon)
LaUnion,La Union (Luzon)
Lanao,Lanao (Mindanao)
Manila,City of Manila
Marinduque,Marinduque
MisamisOccidental,Misamis Occidental (Mindanao)
MisamisOriental,Misamis Oriental (Mindanao)
MountainProvince,Mountain Province (Luzon)
NegrosOccidental,Negros Occidental
NegrosOriental,Negros Oriental
NuevaEcija,Nueva Ecija (Luzon)
NuevaVizcaya,Nueva Vizcaya (Luzon)
Pampanga,Pampanga (Luzon)
Pangasinan,Pangasinan (Luzon)
Rizal,Rizal (Luzon)
Romblon,Romblon
Sorsogon,Sorsogon (Luzon)
Sulu,Sulu
Surigao,Surigao (Mindanao)
Tarlac,Tarlac (Luzon)
Tayabas,Tayabas (Luzon; renamed Quezon in 1946)
Zambales,Zambales (Luzon)
Zamboanga,"Zamboanga (Mindanao, with Basilan)"
