key,en,wiki
Kashmir & Jammu,Kashmir & Jammu,https://en.wikipedia.org/wiki/Jammu_and_Kashmir_(princely_state)
Hyderabad,"Hyderabad — the Nizam’s dominions, the largest of the states",https://en.wikipedia.org/wiki/Hyderabad_State
Mysore,Mysore,https://en.wikipedia.org/wiki/Mysore_State
Travancore & Cochin,Travancore & Cochin,
"Rajputana, Central India & the Gujarat States","Rajputana, Central India and the Gujarat states",
"The Baluchistan States — Kalat, Las Bela, Kharan, Makran","The Baluchistan states — Kalat, Las Bela, Kharan and Makran",
The Eastern States — Orissa and Chhattisgarh,The Eastern States — the Orissa and Chhattisgarh states,
"The Punjab States — Patiala, Jind, Nabha, Kapurthala","The Punjab states — Patiala, Jind, Nabha and Kapurthala",
"Chitral, Dir, Swat & Amb","Chitral, Dir, Swat and Amb — the frontier states",
Kolhapur & the Deccan States,Kolhapur and the Deccan states,
The Khasi Hill States,The Khasi Hill states,
Bastar,Bastar,https://en.wikipedia.org/wiki/Bastar_State
Manipur,Manipur,https://en.wikipedia.org/wiki/Manipur
Tripura,Tripura (Hill Tippera),https://en.wikipedia.org/wiki/Tripura
Cooch Behar,Cooch Behar,https://en.wikipedia.org/wiki/Cooch_Behar_State
Khairpur,Khairpur,https://en.wikipedia.org/wiki/Khairpur_(princely_state)
Tehri Garhwal,Tehri Garhwal,https://en.wikipedia.org/wiki/Tehri_Garhwal_district
Rampur,Rampur,
Benares,"Benares (Banaras) — Ramnagar, Bhadohi and Chakia",https://en.wikipedia.org/wiki/Benares_State
Pudukkottai,Pudukkottai,https://en.wikipedia.org/wiki/Pudukkottai_State
"The Punjab Hill States — Bashahr, Mandi, Suket, Sirmur","The Punjab Hill states — Bashahr, Mandi, Suket and Sirmur",
"Savanur, Sandur & Banganapalle","Savanur, Sandur and Banganapalle",
Waziristan & the frontier tribal agencies,"Waziristan and the frontier tribal agencies — political agents, not the Punjab",
