key,en,wiki
AngThong,Ang Thong,https://en.wikipedia.org/wiki/Ang_Thong
BuriRam,Buriram,https://en.wikipedia.org/wiki/Buriram
Chachoengsao,Chachoengsao (Paet Riu),https://en.wikipedia.org/wiki/Chachoengsao
ChaiNat,Chainat,https://en.wikipedia.org/wiki/Chai_Nat
Chaiyaphum,Chaiyaphum,https://en.wikipedia.org/wiki/Chaiyaphum
Chanthaburi,Chanthaburi (Chantaboon),https://en.wikipedia.org/wiki/Chanthaburi
ChiangMai,Chiengmai (Chiang Mai),https://en.wikipedia.org/wiki/Chiang_Mai
ChiangRai,Chiengrai (Chiang Rai),https://en.wikipedia.org/wiki/Chiang_Rai
ChonBuri,Chonburi,https://en.wikipedia.org/wiki/Chonburi
Chumphon,Chumphon,https://en.wikipedia.org/wiki/Chumphon
Kalasin,Kalasin,https://en.wikipedia.org/wiki/Kalasin
KamphaengPhet,Kamphaeng Phet,https://en.wikipedia.org/wiki/Kamphaeng_Phet
Kanchanaburi,Kanchanaburi (Kanburi),https://en.wikipedia.org/wiki/Kanchanaburi
KhonKaen,Khon Kaen,https://en.wikipedia.org/wiki/Khon_Kaen
Krabi,Krabi,https://en.wikipedia.org/wiki/Krabi
Lampang,Nakhon Lampang,https://en.wikipedia.org/wiki/Lampang
Lamphun,Lamphun,https://en.wikipedia.org/wiki/Lamphun
Loei,Loei,https://en.wikipedia.org/wiki/Loei
Lopburi,Lopburi,https://en.wikipedia.org/wiki/Lopburi
MaeHongSon,Mae Hong Son,https://en.wikipedia.org/wiki/Mae_Hong_Son
MahaSarakham,Maha Sarakham — Kalasin was abolished into it in 1932,https://en.wikipedia.org/wiki/Maha_Sarakham
NakhonNayok,Nakhon Nayok,https://en.wikipedia.org/wiki/Nakhon_Nayok
NakhonPathom,Nakhon Pathom,https://en.wikipedia.org/wiki/Nakhon_Pathom
NakhonPhanom,Nakhon Phanom,https://en.wikipedia.org/wiki/Nakhon_Phanom
NakhonRatchasima,Nakhon Ratchasima (Korat),https://en.wikipedia.org/wiki/Nakhon_Ratchasima
NakhonSawan,Nakhon Sawan (Paknampho),https://en.wikipedia.org/wiki/Nakhon_Sawan
NakhonSiThammarat,Nakhon Si Thammarat (Ligor),https://en.wikipedia.org/wiki/Nakhon_Si_Thammarat
Nan,Nan,https://en.wikipedia.org/wiki/Nan_province
Narathiwat,Bang Nara (Narathiwat),https://en.wikipedia.org/wiki/Narathiwat
NongKhai,Nong Khai,https://en.wikipedia.org/wiki/Nong_Khai
Nonthaburi,Nonthaburi,https://en.wikipedia.org/wiki/Nonthaburi
PathumThani,Pathum Thani,https://en.wikipedia.org/wiki/Pathum_Thani
Pattani,Patani,
Phangnga,Phangnga,https://en.wikipedia.org/wiki/Phang_Nga
Phatthalung,Phatthalung,https://en.wikipedia.org/wiki/Phatthalung
Phetchabun,Phetchabun,https://en.wikipedia.org/wiki/Phetchabun
Phetchaburi,Petchaburi,
Phichit,Phichit,https://en.wikipedia.org/wiki/Phichit
Phitsanulok,Phitsanulok,https://en.wikipedia.org/wiki/Phitsanulok
PhraNakhon,Phra Nakhon and Thonburi (Bangkok),https://en.wikipedia.org/wiki/Bangkok
PhraNakhonSiAyutthaya,Ayudhya (Ayutthaya),https://en.wikipedia.org/wiki/Phra_Nakhon_Si_Ayutthaya_province
Phrae,Phrae,https://en.wikipedia.org/wiki/Phrae
Phuket,Puket (Phuket),https://en.wikipedia.org/wiki/Phuket_province
PrachinBuri,Prachinburi,https://en.wikipedia.org/wiki/Prachinburi
PrachuapKhiriKhan,Prachuap Khiri Khan,https://en.wikipedia.org/wiki/Prachuap_Khiri_Khan
Ranong,Ranong,
Ratchaburi,Rajburi (Ratchaburi),
Rayong,Rayong,
RoiEt,Roi Et,
SakonNakhon,Sakon Nakhon,https://en.wikipedia.org/wiki/Sakon_Nakhon
SamutPrakan,Samut Prakan (Paknam),https://en.wikipedia.org/wiki/Samut_Prakan
SamutSakhon,Samut Sakhon (Tachin),https://en.wikipedia.org/wiki/Samut_Sakhon
SamutSongkhram,Samut Songkhram (Meklong),https://en.wikipedia.org/wiki/Samut_Songkhram
Saraburi,Saraburi,https://en.wikipedia.org/wiki/Saraburi
Satun,Satun (Setul),https://en.wikipedia.org/wiki/Satun
SiSaKet,Khukhan (renamed Sisaket in 1938),
SingBuri,Singburi,https://en.wikipedia.org/wiki/Sing_Buri_province
Songkhla,Songkhla (Singora),https://en.wikipedia.org/wiki/Songkhla
Sukhothai,Sawankhalok (Sukhothai),https://en.wikipedia.org/wiki/Sukhothai_province
SuphanBuri,Suphanburi,https://en.wikipedia.org/wiki/Suphan_Buri
SuratThani,Surat Thani (Bandon),https://en.wikipedia.org/wiki/Surat_Thani
Surin,Surin,https://en.wikipedia.org/wiki/Surin_province
Tak,Tak (Raheng),https://en.wikipedia.org/wiki/Tak_province
Trang,Trang,https://en.wikipedia.org/wiki/Trang_province
Trat,Trat,https://en.wikipedia.org/wiki/Trat
UbonRatchathani,Ubon Ratchathani,https://en.wikipedia.org/wiki/Ubon_Ratchathani
UdonThani,Udon Thani (Udorn),https://en.wikipedia.org/wiki/Udon_Thani
UthaiThani,Uthai Thani,https://en.wikipedia.org/wiki/Uthai_Thani
Uttaradit,Uttaradit,https://en.wikipedia.org/wiki/Uttaradit
Yala,Yala (Jala),https://en.wikipedia.org/wiki/Yala_province
