七堵	Qīdǔ
三叉	Sānchā
三笠	Sānlì
中壢	Zhōnglì
中洲	Zhōngzhōu
九曲堂	Jiǔqǔtáng
二水	Èrshuǐ
二結	Èrjié
佳冬	Jiādōng
八堵	Bādǔ
公司寮	Gōngsīliáo
公埔	Gōngpǔ
公館	Gōngguǎn
六塊厝	Liùkuàicuò
六股	Liùgǔ
冬山	Dōngshān
初音	Chūyīn
初鹿尾	Chūlùwěi
北勢	Běishì
北投	Běitóu
北溝	Běigōu
十五份	Shíwǔfèn
十分寮	Shífēnliáo
半山	Bànshān
南勢	Nánshì
南投	Nántóu
南港	Nángǎng
台中	Táizhōng
台北	Táiběi
台南	Táinán
吉野	Jíyě
名間	Míngjiān
員林	Yuánlín
唭里岸	Qílǐàn
善化	Shànhuà
嘉義	Jiāyì
圓山	Yuánshān
基隆	Jīlóng
塗城	Túchéng
士林	Shìlín
壽	Shòu
外澳	Wài'ào
外車埕	Wàichēchéng
大原	Dàyuán
大和	Dàhé
大坪林	Dàpínglín
大埔	Dàpǔ
大安	Dà'ān
大山腳	Dàshānjiǎo
大庄	Dàzhuāng
大林	Dàlín
大正街	Dàzhèngjiē
大湖	Dàhú
大溪	Dàxī
大甲	Dàjiǎ
大肚	Dàdù
大里	Dàlǐ
太平	Tàipíng
安通	Āntōng
宜蘭	Yílán
宮下	Gōngxià
屏東	Píngdōng
山子腳	Shānzǐjiǎo
岡山	Gāngshān
崁子腳	Kànzǐjiǎo
嶺腳寮	Lǐngjiǎoliáo
平林	Pínglín
平鎮	Píngzhèn
彰化	Zhānghuà
後壁	Hòubì
後庄	Hòuzhuāng
後里	Hòulǐ
後龍	Hòulóng
拔子	Bázǐ
斗六	Dǒuliù
斗南	Dǒunán
新北投	Xīnběitóu
新城	Xīnchéng
新埔	Xīnpǔ
新市	Xīnshì
新店	Xīndiàn
新武呂	Xīnwǔlǚ
新營	Xīnyíng
新竹	Xīnzhú
新街	Xīnjiē
新豐	Xīnfēng
日南	Rìnán
日奈敷	Rìnàifū
景尾	Jǐngwěi
暖暖	Nuǎnnuǎn
會社前	Huìshèqián
月野	Yuèyě
末廣	Mòguǎng
東花蓮港	Dōnghuāliángǎng
松山	Sōngshān
板橋	Bǎnqiáo
枋寮	Fāngliáo
林內	Línnèi
林子頭	Línzǐtóu
林庄	Línzhuāng
林田	Líntián
林邊	Línbiān
林鳳營	Línfèngyíng
桃園	Táoyuán
楊梅	Yángméi
楠梓	Nánzǐ
樹林	Shùlín
橋子頭	Qiáozǐtóu
民雄	Mínxióng
水上	Shuǐshàng
水源地	Shuǐyuándì
水裡坑	Shuǐlǐkēng
水返腳	Shuǐfǎnjiǎo
永康	Yǒngkāng
江頭	Jiāngtóu
池上	Chíshàng
池南	Chínán
沙鹿	Shālù
海岸	Hǎi'àn
淡文湖	Dànwénhú
淡水	Dànshuǐ
清水	Qīngshuǐ
湖口	Húkǒu
溪口	Xīkǒu
溪州	Xīzhōu
潭子	Tánzǐ
潮州	Cháozhōu
